Experiment,Mean_Accuracy,Std_Accuracy,Mean_Sensitivity,Std_Sensitivity,Mean_Specificity,Std_Specificity
MLP_baseline,0.8160000000000001,0.02973213749463699,0.59,0.057831171909658224,0.9128571428571428,0.030937725468153904
MLP_smoteenn,0.789,0.022113344387495983,0.5933333333333334,0.08537498983243798,0.872857142857143,0.0358283891542413
LSTM_baseline,0.808,0.02399999999999998,0.5900000000000001,0.05385164807134503,0.9014285714285715,0.02065261756400138
LSTM_smoteenn,0.7780000000000001,0.019390719429665335,0.68,0.07774602526460402,0.82,0.03392669167725118
GRU_baseline,0.812,0.025612496949731372,0.5933333333333334,0.06289320754704401,0.9057142857142857,0.024074713637646728
GRU_smoteenn,0.7760000000000001,0.02200000000000002,0.6799999999999999,0.09797958971132713,0.8171428571428571,0.03658928135675912
