model_name,method,n_pairs,mean_spearman,std_spearman,min_spearman,max_spearman
Random-CatBoost,Random,105,0.34941303362355997,0.4272669198854854,-0.06970128022759602,1.0
CatBoost,TreeSHAP,105,0.8584027636659215,0.030954643737502632,0.7743735638472481,0.9188094977568662
Random-LightGBM,Random,105,0.34941303362355997,0.4272669198854854,-0.06970128022759602,1.0
LightGBM,TreeSHAP,105,0.8683226671815216,0.04184852723320325,0.7225586260046241,0.9547278655561484
Random-MLP,Random,105,0.34941303362355997,0.4272669198854854,-0.06970128022759602,1.0
MLP,IntegratedGradients,105,0.787693766641135,0.057122434603019745,0.6087099244993981,0.9179341284604442
Random-TabNet,Random,105,0.34941303362355997,0.4272669198854854,-0.06970128022759602,1.0
TabNet,TabNetMasks,105,0.23944755550755012,0.12340423167261216,-0.011720896505199804,0.5930757181299248
