model_name,reference_model_name,method,1,3,5,10
CatBoost,CatBoost,TreeSHAP,0.08557642650469229,0.1659392733700302,0.20723677994869155,0.2512034048289811
LightGBM,LightGBM,TreeSHAP,0.055281968136104725,0.08813708747639924,0.10557050856321173,0.12419281951559198
MLP,MLP,IntegratedGradients,0.1150742449822958,0.20893151949144279,0.23770330546333765,0.26511177626252175
Random-CatBoost,CatBoost,Random,0.011186315375145589,0.02917766802265956,0.04483667491040114,0.08618986051977638
Random-LightGBM,LightGBM,Random,0.003844554521245843,0.011134072788049404,0.018776098564956583,0.03707639921922088
Random-MLP,MLP,Random,0.01085729181499233,0.027843535919422114,0.04087447244750179,0.07328548633620276
Random-TabNet,TabNet,Random,0.012261474772853156,0.03226888113773117,0.04806395847958823,0.08607130775302649
TabNet,TabNet,TabNetMasks,0.0986532881245017,0.15825330893993378,0.17757579628626505,0.18987697482307753
