epoch,loss,lr,val_auc
0,0.6986043536995361,0.02,0.6924991026561378
1,0.6198815488562567,0.02,0.7350060570710696
2,0.5965636084956846,0.02,0.7452609027279253
3,0.5896474544235337,0.02,0.7508686288585786
4,0.5829399260858671,0.02,0.7516704055994257
5,0.5738431725447721,0.02,0.7625412778176597
6,0.573526367866904,0.02,0.763348887293611
7,0.5763319337372692,0.02,0.7649659009332377
8,0.5688659007239445,0.02,0.7675771715721464
9,0.5723483013928896,0.02,0.7658751346015793
10,0.5669188194055861,0.01,0.7639449479540561
11,0.5632244876004875,0.01,0.7686853912419239
12,0.5652693384153309,0.01,0.771722227207466
13,0.5666255770031031,0.01,0.7706799623115579
14,0.5590497058047282,0.01,0.772245827351041
15,0.558381610703927,0.01,0.7715687814070352
16,0.5647817450174407,0.01,0.7735824210337401
17,0.566642681500188,0.01,0.7690461234745154
18,0.5644902595829674,0.01,0.7671062903804737
19,0.5588709043904198,0.01,0.7693034368269921
20,0.5594179564754214,0.005,0.768888639626705
21,0.5586259985700233,0.005,0.7687062544867193
22,0.5612332447866014,0.005,0.7691888011486001
23,0.5550994296424006,0.005,0.7697473977027997
24,0.5590139121975578,0.005,0.7682447954055995
25,0.5533353001827066,0.005,0.7658457465900933
26,0.5524710962058144,0.005,0.7653979720028715
