epoch,loss,lr,val_auc
0,0.7017963295784191,0.02,0.7097980976310121
1,0.6086338552999927,0.02,0.7374044328786791
2,0.5978551030767446,0.02,0.7397978732950465
3,0.590724954733345,0.02,0.7475172738693467
4,0.5815644041669102,0.02,0.7464978912419239
5,0.5756595481083259,0.02,0.7472321428571429
6,0.577865218549885,0.02,0.7519463388370423
7,0.5726957616030959,0.02,0.7555606155778893
8,0.5680033726040691,0.02,0.7583531496769562
9,0.5647545075201268,0.02,0.7596661880832736
10,0.5707638218770741,0.01,0.7612915021536253
11,0.5704831565460786,0.01,0.7598185122038765
12,0.5611700928580962,0.01,0.7612802853553482
13,0.5605609871192591,0.01,0.7615230168700646
14,0.563732819693857,0.01,0.76196608040201
15,0.5636123239783432,0.01,0.7633688531945442
16,0.564473154664648,0.01,0.7613280689160086
17,0.5655210943937208,0.01,0.7661019382627422
18,0.5611325386556214,0.01,0.7632898869346735
19,0.5612380927948564,0.01,0.7642170674802584
20,0.5579012294914566,0.005,0.7635516870064608
21,0.5599253164537757,0.005,0.7630067749461593
22,0.5588541840823622,0.005,0.7649230527638191
23,0.557422419857127,0.005,0.7649775664034458
24,0.558804760481921,0.005,0.7650542893036612
25,0.5593002556958852,0.005,0.7636162957645369
26,0.5616271316560522,0.005,0.763457017229002
27,0.5613377024531131,0.005,0.7651274228284279
