epoch,loss,lr,val_auc
0,0.6922415668092899,0.02,0.72064361988514
1,0.5909889305765881,0.02,0.7402656137832018
2,0.5828262523758585,0.02,0.7465999641062455
3,0.573911897472461,0.02,0.7465335606604451
4,0.574699171955182,0.02,0.7484462491026562
5,0.5714786723168354,0.02,0.7513390613783202
6,0.5620576489846941,0.02,0.7508313890882987
7,0.569771906020925,0.02,0.7526323582196698
8,0.5695730223578942,0.02,0.7551599515434314
9,0.5660781704962933,0.02,0.7551749820531227
10,0.56158407182847,0.01,0.7581783919597989
11,0.5599833260249005,0.01,0.759578248384781
12,0.5624754257561602,0.01,0.7652718951902369
13,0.5599605461687118,0.01,0.7625432968413497
14,0.5546254269459877,0.01,0.7652947774587222
15,0.5529008665457397,0.01,0.7652983668341709
16,0.5525687639040249,0.01,0.7649241744436468
17,0.5535535957235703,0.01,0.7661975053840632
18,0.5592714255353166,0.01,0.766564967695621
19,0.5473497214624354,0.01,0.7679334170854272
20,0.5517527165485917,0.005,0.7671540739411343
21,0.5532343152882682,0.005,0.7671608040201006
22,0.5476532134066201,0.005,0.7687464106245513
23,0.5458751308669939,0.005,0.7697182340272793
24,0.5461914709937025,0.005,0.7693933955491745
25,0.5432099001427281,0.005,0.7711409727207467
26,0.5442281510954423,0.005,0.7683926328068916
27,0.548339089179067,0.005,0.7681656048097631
28,0.5490498454560473,0.005,0.7657553391959799
29,0.5498877276286547,0.005,0.7664348528356066
30,0.5432541865108057,0.0025,0.7657721643933956
31,0.5467084573211041,0.0025,0.7640387203876524
32,0.5485638763841855,0.0025,0.765587311557789
33,0.5446689493243349,0.0025,0.7665097810480977
34,0.548376703828655,0.0025,0.7679322954055995
35,0.5437343254433832,0.0025,0.7664709709260589
