epoch,loss,lr,val_auc
0,0.708645055001045,0.02,0.7393595208183775
1,0.6098837528361682,0.02,0.7337010947595117
2,0.5903224990234031,0.02,0.7503665649676957
3,0.5855626576921263,0.02,0.7556368898061737
4,0.5797974424920084,0.02,0.759370513280689
5,0.570596396969869,0.02,0.7652279253409907
6,0.5723395477943811,0.02,0.7635126525484566
7,0.5711070055768777,0.02,0.7623530599425701
8,0.5681963559689127,0.02,0.7639009781048098
9,0.5709752979164362,0.02,0.7653643216080402
10,0.5650773378835737,0.01,0.7626729630294329
11,0.5641715893990674,0.01,0.7697660175879397
12,0.560400514566154,0.01,0.7670179020100503
13,0.5637569393557477,0.01,0.7699057788944724
14,0.5567267620895815,0.01,0.7721886216798277
15,0.5560489016558359,0.01,0.7682867462311559
16,0.5524503177505032,0.01,0.767209036252692
17,0.5604667291483975,0.01,0.7678993180186646
18,0.5587905279130716,0.01,0.7708352027997127
19,0.5564728224094961,0.01,0.7683221913137114
20,0.5586026989575877,0.005,0.7676135139985643
21,0.5520081231301094,0.005,0.767628768844221
22,0.5567807556368765,0.005,0.76457779971285
23,0.556457707705945,0.005,0.766861764178033
24,0.5513067142749049,0.005,0.7654971284996411
