epoch,loss,lr,val_auc
0,0.6815330257685361,0.02,0.7256884870782485
1,0.6110081485921278,0.02,0.7496549712849964
2,0.5962562879535045,0.02,0.7553400933237615
3,0.5877839928755444,0.02,0.762876211414214
4,0.5763192338525992,0.02,0.7622325915290739
5,0.5803909523841864,0.02,0.7700874910265615
6,0.5735466050830222,0.02,0.7722601848528357
7,0.5680959783070313,0.02,0.7721444274946159
8,0.5748066948262391,0.02,0.7696110014357501
9,0.5640533640658943,0.02,0.7746383704235463
10,0.562961595031295,0.01,0.7708251076812634
11,0.5632575574602667,0.01,0.7701927045944006
12,0.5626956679842544,0.01,0.7704598887293611
13,0.5546525032275978,0.01,0.7695818377602297
14,0.5625821996259371,0.01,0.7689124192390524
15,0.5607409049681134,0.01,0.7708444005743001
16,0.5568948883985977,0.01,0.7737087221823402
17,0.5596309344722656,0.01,0.772792982770998
18,0.5569075275553317,0.01,0.7743234027279254
19,0.549144041716093,0.01,0.7698205312275664
