epoch,loss,lr,val_auc
0,0.6960526684194535,0.02,0.7060738962670495
1,0.6143159582467935,0.02,0.7374730796841351
2,0.6010371948580299,0.02,0.7506656048097631
3,0.5911076612270342,0.02,0.7561445620961952
4,0.592589851543395,0.02,0.7615784278535535
5,0.5823482941729348,0.02,0.7550524946159368
6,0.5830714272245221,0.02,0.7620336055276382
7,0.5743323243689341,0.02,0.7600040380473797
8,0.5788893155083733,0.02,0.7590057430007178
9,0.5712132554312618,0.02,0.7702353284278536
10,0.5703009604986482,0.01,0.770526516511127
11,0.5608524388549934,0.01,0.7689207196697775
12,0.5613395098522218,0.01,0.7681256730078967
13,0.565492555820853,0.01,0.7670623205312276
14,0.5644904447622191,0.01,0.7664413585786074
15,0.5653833610711024,0.01,0.7688307609475953
16,0.5662063308262011,0.01,0.7694005743000718
17,0.5565437913455821,0.01,0.7690649676956209
18,0.5603551103828184,0.01,0.7697516600861449
19,0.5647462248380951,0.01,0.7733042444364682
20,0.5642545189537345,0.005,0.772011171931084
21,0.5557597066825355,0.005,0.7723972541277817
22,0.5618323968305837,0.005,0.7734711503948313
23,0.5588973564964956,0.005,0.7754331927494615
24,0.5559354226730552,0.005,0.7757315595836325
25,0.5573142461089653,0.005,0.7736093413496052
26,0.5600319228829426,0.005,0.7726556891600862
27,0.5556574628593691,0.005,0.7727294956927495
28,0.5585434013223666,0.005,0.7736838208901651
29,0.5539680022935002,0.005,0.7734242641780329
30,0.5539470163101209,0.0025,0.774252512562814
31,0.5538170161226659,0.0025,0.7733751346015794
32,0.5500718444106061,0.0025,0.7741064698492462
33,0.5522488252668227,0.0025,0.7760236450107681
34,0.5471477208064498,0.0025,0.7752413854989232
35,0.5493023677531251,0.0025,0.7746720208183776
36,0.5488723083529043,0.0025,0.7748234475951185
37,0.5504309401635709,0.0025,0.7733387921751617
38,0.5482764386831193,0.0025,0.7749856424982053
39,0.5551938266673648,0.0025,0.7742473528356066
40,0.5499511068832373,0.00125,0.7751422290021537
41,0.5499893265422017,0.00125,0.7748402727925341
42,0.5508982402041794,0.00125,0.7754935391241924
43,0.5479612881921065,0.00125,0.7749750987078249
