epoch,loss,lr,val_auc
0,0.7694924257060898,0.02,0.7005579235463029
1,0.6194777974531984,0.02,0.7421942300789662
2,0.6064579933121198,0.02,0.7435586414213927
3,0.5915787979626964,0.02,0.7452849066762384
4,0.5862380978075439,0.02,0.758274856424982
5,0.5795841372663665,0.02,0.7610658201722901
6,0.575090259161471,0.02,0.761172155419957
7,0.5766199763073002,0.02,0.7687006460875807
8,0.5795482862543302,0.02,0.7713422020818377
9,0.5787563630539526,0.02,0.7672368539124191
10,0.5690447882806549,0.01,0.7680738513998564
11,0.5678038269948341,0.01,0.7665737167982771
12,0.5616527047866833,0.01,0.769273151471644
13,0.5714727821750738,0.01,0.7699237257717158
14,0.57049659794342,0.01,0.7704601130653267
15,0.5673158811408958,0.01,0.7704410445082556
16,0.5601952142419654,0.01,0.7735321697774586
17,0.5651389123132569,0.01,0.7697675879396986
18,0.5665118997360054,0.01,0.7682326812634601
19,0.5735310319362081,0.01,0.7684637473079684
20,0.5678048284324329,0.005,0.7654897254127783
21,0.5710067205631268,0.005,0.773367955850682
22,0.5658135388849481,0.005,0.7744245782483847
23,0.5676877864164422,0.005,0.7710606604450825
24,0.5635144406082024,0.005,0.7725417264895909
25,0.5581915845906541,0.005,0.773501660086145
26,0.5651221294051112,0.005,0.7720024228284279
27,0.5612479585687647,0.005,0.7723831209619526
28,0.5613925953823115,0.005,0.7731007717157214
29,0.5550620485905998,0.005,0.7743521177315148
30,0.5621888469049029,0.0025,0.7713960427135678
31,0.5560923342523173,0.0025,0.7717879576453698
32,0.5612217787672221,0.0025,0.7719301866475234
