epoch,train_loss,val_loss,val_auc
0,1.0197867802137668,0.9501488801502147,0.743149452620244
1,0.9428951081033309,0.9169677649111848,0.7589373205312276
2,0.9234680380594698,0.9033334149799835,0.7614761306532664
3,0.9123402047400667,0.9000220731049942,0.7639842067480258
4,0.9069849303716953,0.8937126689811172,0.7674286611629577
5,0.8975116999232633,0.8897218253376487,0.7701516511127064
6,0.8908981749671648,0.8843049944706833,0.7721778535534818
7,0.8842917100841221,0.8811008008621691,0.7733497846374731
8,0.8844165459632125,0.8805480763166977,0.7730953876525485
9,0.879523755336772,0.8814250541078102,0.7717879576453698
10,0.8749977735664314,0.880532868115337,0.7729082914572865
11,0.8786479698053097,0.878965148472282,0.7736450107681264
12,0.8783646264776418,0.8784651914083123,0.7740308686288586
13,0.8760259057149075,0.8780187437346038,0.7743741026561379
14,0.8713232001745331,0.8780712926215404,0.7747639985642496
15,0.872335538940894,0.8812171292384554,0.7735207286432161
16,0.8689293382586242,0.8804650433999678,0.7726238334529791
17,0.8687676531593613,0.8790745615826565,0.77371276022972
18,0.8696376610888095,0.8780405099718138,0.7741394472361809
19,0.8666585116092486,0.8778787427669903,0.7742832465900933
20,0.8645401886738558,0.8779443525631515,0.7742390524048814
21,0.866843278659855,0.8777171716806753,0.7750569813352477
22,0.8661277179957653,0.8773985166968705,0.7752692031586504
23,0.8611470545138571,0.8773133286644805,0.7752077351040918
24,0.8655659532284896,0.8765529902015831,0.7755011665470208
25,0.8619153061519663,0.8768816907891177,0.7752391421392676
26,0.8603051025164469,0.8774949373207049,0.7751206927494616
27,0.8596119224018895,0.8773190970548136,0.7753706030150755
28,0.8644924709784737,0.8775139929057494,0.7752965721464466
29,0.861823216086516,0.8774331216684835,0.7751853015075377
30,0.8619083816695317,0.8768271244938036,0.7756048097631012
31,0.8605476715399042,0.877036128081257,0.7756651561378319
32,0.8594852872441505,0.8767593061433353,0.7759794508255562
33,0.8600083661397673,0.8761540189203086,0.776169687724336
34,0.8603607954162684,0.8763392084299921,0.7760312724335966
35,0.8592985206414168,0.8764864284549327,0.7759040739411341
36,0.8614572310007738,0.8754209508752664,0.7763931263460158
37,0.8600114648558366,0.8761158460239414,0.7762078248384782
38,0.8603722930282155,0.8756267952839445,0.7765622756640345
39,0.8612467122162188,0.8759879192733128,0.7764864501076812
40,0.8583566522336166,0.8758611467576796,0.7764070351758794
41,0.856937466975423,0.8753985456948286,0.7767246949030868
42,0.858685048458667,0.8758051622165854,0.7764402368987796
43,0.8617590646627701,0.8757036600813054,0.7764478643216082
44,0.8582774851665714,0.8762043479817595,0.7762784906676238
45,0.8577345995094245,0.8759179737199267,0.7764810660445083
46,0.8603049197241892,0.8756810647494536,0.7765882986360374
47,0.8590893621626301,0.8760829883502244,0.7765183058147882
48,0.8583290851205108,0.8760081859796544,0.7763736091170137
49,0.8568226461509747,0.8759697906432613,0.7763132627422829
