model_name,method,explain_time_mean,explain_time_std,time_per_sample_mean
CatBoost,TreeSHAP,0.36093441645304364,0.07963702362431443,0.0007218688329060872
LightGBM,TreeSHAP,0.023246606190999348,0.003146307045540218,4.6493212381998696e-05
MLP,IntegratedGradients,0.3067880948384603,0.014142647191638243,0.0006135761896769207
Random-CatBoost,Random,3.973642985026042e-07,1.4715514179429237e-07,7.947285970052084e-10
Random-LightGBM,Random,3.973642985026042e-07,1.471551417942924e-07,7.947285970052084e-10
Random-MLP,Random,4.1325887044270835e-07,1.6778267635083123e-07,8.265177408854167e-10
Random-TabNet,Random,3.337860107421875e-07,1.2090028592040776e-07,6.67572021484375e-10
TabNet,TabNetMasks,0.018214321136474608,0.0008776674991049843,3.642864227294922e-05
