model,test_roc_auc_mean,test_roc_auc_std,test_pr_auc_mean,test_pr_auc_std,test_f1_mean,test_f1_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_balanced_acc_mean,test_balanced_acc_std,test_mcc_mean,test_mcc_std,test_brier_mean,test_brier_std,runtime_mean
LogisticRegression,0.7740762806966062,0.007616870945965257,0.5406664761497443,0.01236375028956063,0.5366590762278033,0.011975432723069977,0.5123145393535614,0.026802815374497177,0.5661136249371542,0.03097737849618712,0.7058051875846403,0.008431319216707261,0.39797614311741,0.017096403607298045,0.18376927905240198,0.002141163915104102,1.687505801518758
CatBoost,0.7890299529348421,0.009462878171915436,0.5666078096032606,0.014986113862266493,0.5481056393321478,0.012852313767143655,0.5235078677422013,0.03309099630690521,0.5787833081950727,0.03369863945161225,0.7135613562616677,0.008701682441432585,0.41306773134055036,0.01966037385398885,0.17699845111397736,0.002820576676809887,10.7001549243927
LightGBM,0.782494608497583,0.010357787625592122,0.555460306407083,0.014659184131511824,0.5421386289224077,0.012314063076836296,0.5254325873793633,0.03214348052473236,0.5639014580191051,0.038962589133595654,0.7086416796559348,0.009988798805604094,0.40762980215860867,0.017955797479888506,0.15365542048340677,0.0013236966154971082,0.21351046562194825
MLP,0.78276353994538,0.00878285641792935,0.5563198384580116,0.014594442314359248,0.5405275237439945,0.0118364012712334,0.5281379639001789,0.028192955247449362,0.5566616390145801,0.034664870755122416,0.7069430614900055,0.00919231851594507,0.40668687353966465,0.015468009078577765,0.18089250545098215,0.0024630132606471584,9.910541677474976
TabNet,0.7731323220502565,0.00991820302378845,0.5349779272065106,0.01351511815357415,0.5311102211411775,0.014277167489054542,0.5155604235376442,0.03185920048293559,0.5527903469079939,0.046168736586787426,0.7014362419491044,0.01144142233382849,0.3938237800624084,0.016978972574127112,0.18463881897703213,0.005140120662655419,30.852191654841103
