model_name,method,seed,fold,k,overlap
Random-CatBoost,Random,2024,0,3,0.0
Random-CatBoost,Random,2024,0,5,0.2
Random-CatBoost,Random,2024,0,10,0.6
CatBoost,TreeSHAP,2024,0,3,0.6666666666666666
CatBoost,TreeSHAP,2024,0,5,0.4
CatBoost,TreeSHAP,2024,0,10,0.6
Random-LightGBM,Random,2024,0,3,0.0
Random-LightGBM,Random,2024,0,5,0.0
Random-LightGBM,Random,2024,0,10,0.3
LightGBM,TreeSHAP,2024,0,3,0.6666666666666666
LightGBM,TreeSHAP,2024,0,5,0.6
LightGBM,TreeSHAP,2024,0,10,0.6
Random-MLP,Random,2024,0,3,0.3333333333333333
Random-MLP,Random,2024,0,5,0.2
Random-MLP,Random,2024,0,10,0.4
MLP,IntegratedGradients,2024,0,3,0.6666666666666666
MLP,IntegratedGradients,2024,0,5,0.8
MLP,IntegratedGradients,2024,0,10,0.8
Random-TabNet,Random,2024,0,3,0.3333333333333333
Random-TabNet,Random,2024,0,5,0.2
Random-TabNet,Random,2024,0,10,0.5
TabNet,TabNetMasks,2024,0,3,1.0
TabNet,TabNetMasks,2024,0,5,0.8
TabNet,TabNetMasks,2024,0,10,0.5
Random-CatBoost,Random,2024,1,3,0.0
Random-CatBoost,Random,2024,1,5,0.0
Random-CatBoost,Random,2024,1,10,0.3
CatBoost,TreeSHAP,2024,1,3,0.6666666666666666
CatBoost,TreeSHAP,2024,1,5,0.4
CatBoost,TreeSHAP,2024,1,10,0.4
Random-LightGBM,Random,2024,1,3,0.0
Random-LightGBM,Random,2024,1,5,0.0
Random-LightGBM,Random,2024,1,10,0.3
LightGBM,TreeSHAP,2024,1,3,0.6666666666666666
LightGBM,TreeSHAP,2024,1,5,0.6
LightGBM,TreeSHAP,2024,1,10,0.7
Random-MLP,Random,2024,1,3,0.0
Random-MLP,Random,2024,1,5,0.0
Random-MLP,Random,2024,1,10,0.1
MLP,IntegratedGradients,2024,1,3,0.6666666666666666
MLP,IntegratedGradients,2024,1,5,0.4
MLP,IntegratedGradients,2024,1,10,0.4
Random-TabNet,Random,2024,1,3,0.0
Random-TabNet,Random,2024,1,5,0.0
Random-TabNet,Random,2024,1,10,0.5
TabNet,TabNetMasks,2024,1,3,0.6666666666666666
TabNet,TabNetMasks,2024,1,5,0.4
TabNet,TabNetMasks,2024,1,10,0.6
Random-CatBoost,Random,2024,2,3,0.0
Random-CatBoost,Random,2024,2,5,0.0
Random-CatBoost,Random,2024,2,10,0.3
CatBoost,TreeSHAP,2024,2,3,0.3333333333333333
CatBoost,TreeSHAP,2024,2,5,0.2
CatBoost,TreeSHAP,2024,2,10,0.3
Random-LightGBM,Random,2024,2,3,0.0
Random-LightGBM,Random,2024,2,5,0.0
Random-LightGBM,Random,2024,2,10,0.5
LightGBM,TreeSHAP,2024,2,3,1.0
LightGBM,TreeSHAP,2024,2,5,0.6
LightGBM,TreeSHAP,2024,2,10,0.5
Random-MLP,Random,2024,2,3,0.0
Random-MLP,Random,2024,2,5,0.0
Random-MLP,Random,2024,2,10,0.5
MLP,IntegratedGradients,2024,2,3,0.6666666666666666
MLP,IntegratedGradients,2024,2,5,0.6
MLP,IntegratedGradients,2024,2,10,0.5
Random-TabNet,Random,2024,2,3,0.0
Random-TabNet,Random,2024,2,5,0.0
Random-TabNet,Random,2024,2,10,0.2
TabNet,TabNetMasks,2024,2,3,0.6666666666666666
TabNet,TabNetMasks,2024,2,5,0.6
TabNet,TabNetMasks,2024,2,10,0.5
Random-CatBoost,Random,2024,3,3,0.0
Random-CatBoost,Random,2024,3,5,0.2
Random-CatBoost,Random,2024,3,10,0.4
CatBoost,TreeSHAP,2024,3,3,0.6666666666666666
CatBoost,TreeSHAP,2024,3,5,0.4
CatBoost,TreeSHAP,2024,3,10,0.4
Random-LightGBM,Random,2024,3,3,0.0
Random-LightGBM,Random,2024,3,5,0.0
Random-LightGBM,Random,2024,3,10,0.5
LightGBM,TreeSHAP,2024,3,3,1.0
LightGBM,TreeSHAP,2024,3,5,0.6
LightGBM,TreeSHAP,2024,3,10,0.6
Random-MLP,Random,2024,3,3,0.0
Random-MLP,Random,2024,3,5,0.0
Random-MLP,Random,2024,3,10,0.2
MLP,IntegratedGradients,2024,3,3,0.6666666666666666
MLP,IntegratedGradients,2024,3,5,0.6
MLP,IntegratedGradients,2024,3,10,0.5
Random-TabNet,Random,2024,3,3,0.0
Random-TabNet,Random,2024,3,5,0.2
Random-TabNet,Random,2024,3,10,0.4
TabNet,TabNetMasks,2024,3,3,0.6666666666666666
TabNet,TabNetMasks,2024,3,5,0.6
TabNet,TabNetMasks,2024,3,10,0.5
Random-CatBoost,Random,2024,4,3,0.0
Random-CatBoost,Random,2024,4,5,0.2
Random-CatBoost,Random,2024,4,10,0.5
CatBoost,TreeSHAP,2024,4,3,0.0
CatBoost,TreeSHAP,2024,4,5,0.0
CatBoost,TreeSHAP,2024,4,10,0.3
Random-LightGBM,Random,2024,4,3,0.0
Random-LightGBM,Random,2024,4,5,0.0
Random-LightGBM,Random,2024,4,10,0.4
LightGBM,TreeSHAP,2024,4,3,1.0
LightGBM,TreeSHAP,2024,4,5,0.6
LightGBM,TreeSHAP,2024,4,10,0.5
Random-MLP,Random,2024,4,3,0.0
Random-MLP,Random,2024,4,5,0.2
Random-MLP,Random,2024,4,10,0.4
MLP,IntegratedGradients,2024,4,3,0.0
MLP,IntegratedGradients,2024,4,5,0.4
MLP,IntegratedGradients,2024,4,10,0.2
Random-TabNet,Random,2024,4,3,0.0
Random-TabNet,Random,2024,4,5,0.4
Random-TabNet,Random,2024,4,10,0.3
TabNet,TabNetMasks,2024,4,3,0.3333333333333333
TabNet,TabNetMasks,2024,4,5,0.2
TabNet,TabNetMasks,2024,4,10,0.3
Random-CatBoost,Random,7,0,3,0.0
Random-CatBoost,Random,7,0,5,0.2
Random-CatBoost,Random,7,0,10,0.2
CatBoost,TreeSHAP,7,0,3,0.0
CatBoost,TreeSHAP,7,0,5,0.2
CatBoost,TreeSHAP,7,0,10,0.2
Random-LightGBM,Random,7,0,3,0.0
Random-LightGBM,Random,7,0,5,0.0
Random-LightGBM,Random,7,0,10,0.1
LightGBM,TreeSHAP,7,0,3,1.0
LightGBM,TreeSHAP,7,0,5,0.6
LightGBM,TreeSHAP,7,0,10,0.6
Random-MLP,Random,7,0,3,0.0
Random-MLP,Random,7,0,5,0.2
Random-MLP,Random,7,0,10,0.2
MLP,IntegratedGradients,7,0,3,0.6666666666666666
MLP,IntegratedGradients,7,0,5,0.6
MLP,IntegratedGradients,7,0,10,0.4
Random-TabNet,Random,7,0,3,0.0
Random-TabNet,Random,7,0,5,0.2
Random-TabNet,Random,7,0,10,0.3
TabNet,TabNetMasks,7,0,3,0.6666666666666666
TabNet,TabNetMasks,7,0,5,0.8
TabNet,TabNetMasks,7,0,10,0.5
Random-CatBoost,Random,7,1,3,0.0
Random-CatBoost,Random,7,1,5,0.0
Random-CatBoost,Random,7,1,10,0.2
CatBoost,TreeSHAP,7,1,3,0.0
CatBoost,TreeSHAP,7,1,5,0.2
CatBoost,TreeSHAP,7,1,10,0.4
Random-LightGBM,Random,7,1,3,0.0
Random-LightGBM,Random,7,1,5,0.0
Random-LightGBM,Random,7,1,10,0.1
LightGBM,TreeSHAP,7,1,3,1.0
LightGBM,TreeSHAP,7,1,5,0.6
LightGBM,TreeSHAP,7,1,10,0.6
Random-MLP,Random,7,1,3,0.0
Random-MLP,Random,7,1,5,0.0
Random-MLP,Random,7,1,10,0.1
MLP,IntegratedGradients,7,1,3,0.6666666666666666
MLP,IntegratedGradients,7,1,5,0.4
MLP,IntegratedGradients,7,1,10,0.5
Random-TabNet,Random,7,1,3,0.0
Random-TabNet,Random,7,1,5,0.0
Random-TabNet,Random,7,1,10,0.1
TabNet,TabNetMasks,7,1,3,0.6666666666666666
TabNet,TabNetMasks,7,1,5,0.6
TabNet,TabNetMasks,7,1,10,0.6
Random-CatBoost,Random,7,2,3,0.0
Random-CatBoost,Random,7,2,5,0.0
Random-CatBoost,Random,7,2,10,0.1
CatBoost,TreeSHAP,7,2,3,0.6666666666666666
CatBoost,TreeSHAP,7,2,5,0.4
CatBoost,TreeSHAP,7,2,10,0.5
Random-LightGBM,Random,7,2,3,0.0
Random-LightGBM,Random,7,2,5,0.0
Random-LightGBM,Random,7,2,10,0.0
LightGBM,TreeSHAP,7,2,3,1.0
LightGBM,TreeSHAP,7,2,5,0.6
LightGBM,TreeSHAP,7,2,10,0.5
Random-MLP,Random,7,2,3,0.0
Random-MLP,Random,7,2,5,0.2
Random-MLP,Random,7,2,10,0.2
MLP,IntegratedGradients,7,2,3,0.6666666666666666
MLP,IntegratedGradients,7,2,5,0.6
MLP,IntegratedGradients,7,2,10,0.4
Random-TabNet,Random,7,2,3,0.0
Random-TabNet,Random,7,2,5,0.0
Random-TabNet,Random,7,2,10,0.4
TabNet,TabNetMasks,7,2,3,1.0
TabNet,TabNetMasks,7,2,5,0.6
TabNet,TabNetMasks,7,2,10,0.5
Random-CatBoost,Random,7,3,3,0.0
Random-CatBoost,Random,7,3,5,0.2
Random-CatBoost,Random,7,3,10,0.3
CatBoost,TreeSHAP,7,3,3,0.6666666666666666
CatBoost,TreeSHAP,7,3,5,0.8
CatBoost,TreeSHAP,7,3,10,0.7
Random-LightGBM,Random,7,3,3,0.0
Random-LightGBM,Random,7,3,5,0.0
Random-LightGBM,Random,7,3,10,0.3
LightGBM,TreeSHAP,7,3,3,1.0
LightGBM,TreeSHAP,7,3,5,0.8
LightGBM,TreeSHAP,7,3,10,0.7
Random-MLP,Random,7,3,3,0.0
Random-MLP,Random,7,3,5,0.0
Random-MLP,Random,7,3,10,0.1
MLP,IntegratedGradients,7,3,3,0.6666666666666666
MLP,IntegratedGradients,7,3,5,0.4
MLP,IntegratedGradients,7,3,10,0.5
Random-TabNet,Random,7,3,3,0.0
Random-TabNet,Random,7,3,5,0.2
Random-TabNet,Random,7,3,10,0.2
TabNet,TabNetMasks,7,3,3,0.6666666666666666
TabNet,TabNetMasks,7,3,5,0.6
TabNet,TabNetMasks,7,3,10,0.5
Random-CatBoost,Random,7,4,3,0.0
Random-CatBoost,Random,7,4,5,0.0
Random-CatBoost,Random,7,4,10,0.2
CatBoost,TreeSHAP,7,4,3,0.0
CatBoost,TreeSHAP,7,4,5,0.0
CatBoost,TreeSHAP,7,4,10,0.3
Random-LightGBM,Random,7,4,3,0.0
Random-LightGBM,Random,7,4,5,0.0
Random-LightGBM,Random,7,4,10,0.2
LightGBM,TreeSHAP,7,4,3,0.6666666666666666
LightGBM,TreeSHAP,7,4,5,0.6
LightGBM,TreeSHAP,7,4,10,0.3
Random-MLP,Random,7,4,3,0.3333333333333333
Random-MLP,Random,7,4,5,0.4
Random-MLP,Random,7,4,10,0.3
MLP,IntegratedGradients,7,4,3,0.0
MLP,IntegratedGradients,7,4,5,0.4
MLP,IntegratedGradients,7,4,10,0.5
Random-TabNet,Random,7,4,3,0.0
Random-TabNet,Random,7,4,5,0.0
Random-TabNet,Random,7,4,10,0.3
TabNet,TabNetMasks,7,4,3,0.6666666666666666
TabNet,TabNetMasks,7,4,5,0.6
TabNet,TabNetMasks,7,4,10,0.7
