roc_auc,pr_auc,accuracy,precision,recall,specificity,f1,balanced_acc,mcc,brier,threshold,tp,fp,fn,tn,model,feature_set
0.7840393430204242,0.5595978974031848,0.7832471216419156,0.5088062622309197,0.5882352941176471,0.8386543818298693,0.5456453305351522,0.7134448379737581,0.40613255891536987,0.13389348936314066,0.25,780,753,546,3914,LightGBM,raw
0.7856533195269504,0.5647249604944382,0.7915901885533122,0.5271317829457365,0.5641025641025641,0.8562245553889007,0.5449908925318762,0.7101635597457324,0.41042971513495313,0.1332765338914776,0.28,748,671,578,3996,CatBoost,raw
0.7831408939439038,0.5545008988573108,0.7757383614216586,0.49433249370277077,0.5920060331825038,0.8279408613670453,0.5387783115991764,0.7099734472747745,0.39499066432179236,0.17921248469720555,0.53,785,803,541,3864,MLP,raw
0.7904169579354545,0.561409045306836,0.8049390956115468,0.5633575464083939,0.526395173453997,0.8840797085922434,0.5442495126705653,0.7052374410231201,0.42073826075117354,0.13270037109210964,0.32,698,541,628,4126,LightGBM,engineered
0.7951056986556552,0.5685869014509293,0.8001001168029368,0.5477611940298508,0.5535444947209653,0.8701521319905721,0.5506376594148538,0.7118483133557687,0.4221110715172045,0.13185070589763215,0.3,734,606,592,4061,CatBoost,engineered
0.7858766390635963,0.5541921841817703,0.8072751543467379,0.5745422842197035,0.49698340874811464,0.895436040282837,0.532955923978973,0.6962097245154758,0.41406428512759175,0.1772314778604789,0.63,659,488,667,4179,MLP,engineered
