seed,fold,model_name,threshold,runtime,val_roc_auc,val_pr_auc,val_accuracy,val_precision,val_recall,val_specificity,val_f1,val_balanced_acc,val_mcc,val_brier,val_threshold,val_tp,val_fp,val_fn,val_tn,test_roc_auc,test_pr_auc,test_accuracy,test_precision,test_recall,test_specificity,test_f1,test_balanced_acc,test_mcc,test_brier,test_threshold,test_tp,test_fp,test_fn,test_tn
42,0,LogisticRegression,0.56,1.6793348789215088,0.7657596015793253,0.5373492982162466,0.782258064516129,0.5075493612078978,0.5489949748743719,0.8485714285714285,0.5274592637296318,0.6987832017229002,0.38678086958462693,0.18560150636657513,0.56,437,424,359,2376,0.7774160281376152,0.5445484611780322,0.7905890205239446,0.5254480286738351,0.552790346907994,0.8581529890722092,0.5387725101065785,0.7054716679901016,0.4036463385266951,0.18095886728369937,0.56,733,662,593,4005
42,0,CatBoost,0.63,13.262972593307495,0.7862468592964824,0.5718481889143002,0.8042269187986651,0.5614973262032086,0.5276381909547738,0.8828571428571429,0.5440414507772021,0.7052476669059584,0.41987786757207013,0.17706652614799945,0.63,420,328,376,2472,0.7936479003923766,0.5709053596915417,0.8104455197730686,0.5789036544850499,0.5256410256410257,0.8913649025069638,0.5509881422924902,0.7085029640739947,0.43201341159547335,0.17305876011351148,0.63,697,507,629,4160
42,0,LightGBM,0.4,0.2311382293701172,0.7814597541277819,0.560897481538658,0.8028364849833148,0.5591836734693878,0.5163316582914573,0.8842857142857142,0.5369039843239712,0.7003086862885858,0.4124418530588846,0.1532773016628881,0.4,411,324,385,2476,0.7892375011351809,0.5611461364586936,0.8074420156849658,0.5716666666666667,0.5173453996983409,0.8898650096421684,0.5431512272367379,0.7036052046702547,0.422391525309464,0.15191313536864587,0.4,686,514,640,4153
42,0,MLP,0.63,13.315531253814697,0.7767246949030868,0.560217371524602,0.8017241379310345,0.5573997233748271,0.5062814070351759,0.8857142857142857,0.5306122448979592,0.6959978463747307,0.40605034414882263,0.1808758837293774,0.63,403,320,393,2480,0.7858766390635963,0.5541921841817703,0.8072751543467379,0.5745422842197035,0.49698340874811464,0.895436040282837,0.532955923978973,0.6962097245154758,0.41406428512759175,0.1772314778604789,0.63,659,488,667,4179
42,0,TabNet,0.61,25.066969394683838,0.7735824210337401,0.5298065570308018,0.7950500556173526,0.5382619974059663,0.5213567839195979,0.8728571428571429,0.5296745373324825,0.6971069633883704,0.398777914132106,0.19527450307121377,0.61,415,356,381,2444,0.7771010053903713,0.5291503800871082,0.7974303353912898,0.5453808752025932,0.5075414781297134,0.8797943004071138,0.52578125,0.6936678892684136,0.39761507823762254,0.1908207743842705,0.61,673,561,653,4106
42,1,LogisticRegression,0.58,1.7426679134368896,0.7745306891600862,0.5320087194301787,0.7875417130144605,0.5185185185185185,0.5628140703517588,0.8514285714285714,0.5397590361445783,0.7071213208901651,0.40252525476749873,0.18755404318751462,0.58,448,416,348,2384,0.7705326316381409,0.5389277735525076,0.7900884365092607,0.5251107828655834,0.5361990950226244,0.8622241268480823,0.5305970149253731,0.6992116109353533,0.39547022150090066,0.1841573354615787,0.58,711,643,615,4024
42,1,CatBoost,0.63,11.72935438156128,0.7882732860732232,0.5690059421215815,0.8083982202447163,0.5701179554390564,0.5464824120603015,0.8828571428571429,0.5580500320718409,0.7146697774587222,0.43596426745186767,0.18022347581258122,0.63,435,328,361,2472,0.7793044679096937,0.5615223531616258,0.8042716502586351,0.5634854771784232,0.5120663650075414,0.8872937647310907,0.5365468194389569,0.699680064869316,0.41360404066823,0.17856462685040544,0.63,679,526,647,4141
42,1,LightGBM,0.37,0.2120044231414795,0.7769523959081119,0.5595046904627247,0.782258064516129,0.507057546145494,0.5866834170854272,0.8378571428571429,0.5439720442632499,0.712270279971285,0.4037969457036073,0.15404188130218782,0.37,467,454,329,2346,0.7713203904957016,0.5448840300739423,0.7887535458034374,0.5211565585331452,0.557315233785822,0.8545103921148489,0.5386297376093294,0.7059128129503355,0.402226208311336,0.15415207964453406,0.37,739,679,587,3988
42,1,MLP,0.65,12.04157543182373,0.7879556263460157,0.5649798462987589,0.8095105672969967,0.5782792665726375,0.5150753768844221,0.8932142857142857,0.5448504983388704,0.7041448312993539,0.42604691433798975,0.1834237024963649,0.65,410,299,386,2501,0.7766559822326848,0.5464188712196754,0.809444351743701,0.5833333333333334,0.4856711915535445,0.9014356117420185,0.5300411522633744,0.6935534016477815,0.4145022679543649,0.18199810830259155,0.65,644,460,682,4207
42,1,TabNet,0.63,35.76796340942383,0.780800879396985,0.5429496706724563,0.8058954393770856,0.5678670360110804,0.5150753768844221,0.8885714285714286,0.5401844532279315,0.7018234027279253,0.41833585463846756,0.19008942277493543,0.63,410,312,386,2488,0.7685671934874723,0.5305271917970313,0.8042716502586351,0.5706371191135734,0.4660633484162896,0.900364259695736,0.5130759651307597,0.6832138040560127,0.3952973253153458,0.1879911287311654,0.63,618,465,708,4202
