Experiment,Mean_Accuracy,Std_Accuracy,Mean_Sensitivity,Std_Sensitivity,Mean_Specificity,Std_Specificity
MLP_baseline,0.8869565217391304,0.045276809715400886,0.8674193548387097,0.11193961547124898,0.9035762483130905,0.05348068485276602
MLP_smoteenn,0.8826086956521738,0.042228412418357876,0.8674193548387097,0.09364974116418012,0.895816464237517,0.03422216966683417
LSTM_baseline,0.8884057971014492,0.04202898550724637,0.8512903225806451,0.11178664456090104,0.9193657219973008,0.03294236836612608
LSTM_smoteenn,0.881159420289855,0.04619529695799775,0.8511827956989247,0.10775266617522333,0.9062753036437247,0.02791997928165412
GRU_baseline,0.8855072463768116,0.044173190301820764,0.8417204301075267,0.12005779623311026,0.9219973009446694,0.03190455797740089
GRU_smoteenn,0.8608695652173914,0.04944557133110718,0.8311827956989246,0.12266362028520518,0.8853576248313091,0.03832094244820089
