model_name,brier_score,ece
LogisticRegression,0.18376927905240203,0.21208038889853556
CatBoost,0.17699845111397733,0.19997091285799437
LightGBM,0.15365542048340677,0.12503325387929737
MLP,0.18089250546325697,0.20476076076036864
MLP (Platt),0.13467805943750652,0.010364067689387529
MLP (Isotonic),0.1347774266355258,0.005920506105221588
TabNet,0.18463881902805282,0.20917594705026335
