2026-04-23 19:55:50,589 - taiwan | paper | SMOTE:False | Focal:False | Fold 3 Acc: 0.8148
2026-04-23 19:56:11,983 - taiwan | paper | SMOTE:False | Focal:False | Fold 4 Acc: 0.8225
2026-04-23 19:56:33,619 - taiwan | paper | SMOTE:False | Focal:False | Fold 5 Acc: 0.8153
2026-04-23 19:57:04,223 - taiwan | paper | SMOTE:True | Focal:False | Fold 1 Acc: 0.6927
2026-04-23 19:57:31,646 - taiwan | paper | SMOTE:True | Focal:False | Fold 2 Acc: 0.6627
2026-04-23 19:57:55,887 - taiwan | paper | SMOTE:True | Focal:False | Fold 3 Acc: 0.6567
2026-04-23 19:58:25,025 - taiwan | paper | SMOTE:True | Focal:False | Fold 4 Acc: 0.6513
2026-04-23 19:58:49,995 - taiwan | paper | SMOTE:True | Focal:False | Fold 5 Acc: 0.6730
2026-04-23 19:59:18,613 - taiwan | attn | SMOTE:False | Focal:True | Fold 1 Acc: 0.8207
2026-04-23 19:59:43,376 - taiwan | attn | SMOTE:False | Focal:True | Fold 2 Acc: 0.8128
2026-04-23 20:00:06,698 - taiwan | attn | SMOTE:False | Focal:True | Fold 3 Acc: 0.8142
2026-04-23 20:00:33,299 - taiwan | attn | SMOTE:False | Focal:True | Fold 4 Acc: 0.8257
2026-04-23 20:00:58,398 - taiwan | attn | SMOTE:False | Focal:True | Fold 5 Acc: 0.8182
2026-04-23 20:02:56,061 - german | paper | SMOTE:False | Focal:False | Fold 1 Acc: 0.7600
2026-04-23 20:02:56,976 - german | paper | SMOTE:False | Focal:False | Fold 2 Acc: 0.8300
2026-04-23 20:02:58,054 - german | paper | SMOTE:False | Focal:False | Fold 3 Acc: 0.7500
2026-04-23 20:02:58,957 - german | paper | SMOTE:False | Focal:False | Fold 4 Acc: 0.7500
2026-04-23 20:02:59,816 - german | paper | SMOTE:False | Focal:False | Fold 5 Acc: 0.7800
2026-04-23 20:03:00,560 - german | paper | SMOTE:False | Focal:False | Fold 6 Acc: 0.7200
2026-04-23 20:03:01,252 - german | paper | SMOTE:False | Focal:False | Fold 7 Acc: 0.7600
2026-04-23 20:03:01,902 - german | paper | SMOTE:False | Focal:False | Fold 8 Acc: 0.7900
2026-04-23 20:03:02,875 - german | paper | SMOTE:False | Focal:False | Fold 9 Acc: 0.8000
2026-04-23 20:03:03,597 - german | paper | SMOTE:False | Focal:False | Fold 10 Acc: 0.7700
2026-04-23 20:03:04,437 - german | paper | SMOTE:True | Focal:False | Fold 1 Acc: 0.6500
2026-04-23 20:03:05,031 - german | paper | SMOTE:True | Focal:False | Fold 2 Acc: 0.7100
2026-04-23 20:03:05,634 - german | paper | SMOTE:True | Focal:False | Fold 3 Acc: 0.5900
2026-04-23 20:03:06,581 - german | paper | SMOTE:True | Focal:False | Fold 4 Acc: 0.6700
2026-04-23 20:03:07,356 - german | paper | SMOTE:True | Focal:False | Fold 5 Acc: 0.6800
2026-04-23 20:03:08,153 - german | paper | SMOTE:True | Focal:False | Fold 6 Acc: 0.6200
2026-04-23 20:03:08,874 - german | paper | SMOTE:True | Focal:False | Fold 7 Acc: 0.6700
2026-04-23 20:03:09,784 - german | paper | SMOTE:True | Focal:False | Fold 8 Acc: 0.6900
2026-04-23 20:03:10,581 - german | paper | SMOTE:True | Focal:False | Fold 9 Acc: 0.6800
2026-04-23 20:03:11,303 - german | paper | SMOTE:True | Focal:False | Fold 10 Acc: 0.7000
2026-04-23 20:03:12,688 - german | attn | SMOTE:False | Focal:True | Fold 1 Acc: 0.7500
2026-04-23 20:03:14,047 - german | attn | SMOTE:False | Focal:True | Fold 2 Acc: 0.8300
2026-04-23 20:03:15,166 - german | attn | SMOTE:False | Focal:True | Fold 3 Acc: 0.7800
2026-04-23 20:03:16,695 - german | attn | SMOTE:False | Focal:True | Fold 4 Acc: 0.7500
2026-04-23 20:03:17,995 - german | attn | SMOTE:False | Focal:True | Fold 5 Acc: 0.8100
2026-04-23 20:03:19,397 - german | attn | SMOTE:False | Focal:True | Fold 6 Acc: 0.6800
2026-04-23 20:03:20,425 - german | attn | SMOTE:False | Focal:True | Fold 7 Acc: 0.7900
2026-04-23 20:03:21,717 - german | attn | SMOTE:False | Focal:True | Fold 8 Acc: 0.7800
2026-04-23 20:03:22,725 - german | attn | SMOTE:False | Focal:True | Fold 9 Acc: 0.8100
2026-04-23 20:03:24,195 - german | attn | SMOTE:False | Focal:True | Fold 10 Acc: 0.7700
2026-04-23 20:03:25,187 - australian | paper | SMOTE:False | Focal:False | Fold 1 Acc: 0.8986
2026-04-23 20:03:25,885 - australian | paper | SMOTE:False | Focal:False | Fold 2 Acc: 0.8551
2026-04-23 20:03:26,840 - australian | paper | SMOTE:False | Focal:False | Fold 3 Acc: 0.9130
2026-04-23 20:03:27,725 - australian | paper | SMOTE:False | Focal:False | Fold 4 Acc: 0.7971
2026-04-23 20:03:28,494 - australian | paper | SMOTE:False | Focal:False | Fold 5 Acc: 0.8696
2026-04-23 20:03:29,356 - australian | paper | SMOTE:False | Focal:False | Fold 6 Acc: 0.8696
2026-04-23 20:03:30,039 - australian | paper | SMOTE:False | Focal:False | Fold 7 Acc: 0.7536
2026-04-23 20:03:30,704 - australian | paper | SMOTE:False | Focal:False | Fold 8 Acc: 0.8261
2026-04-23 20:03:31,334 - australian | paper | SMOTE:False | Focal:False | Fold 9 Acc: 0.8261
2026-04-23 20:03:31,884 - australian | paper | SMOTE:False | Focal:False | Fold 10 Acc: 0.8986
2026-04-23 20:03:32,284 - australian | paper | SMOTE:True | Focal:False | Fold 1 Acc: 0.8551
2026-04-23 20:03:32,655 - australian | paper | SMOTE:True | Focal:False | Fold 2 Acc: 0.7536
2026-04-23 20:03:33,004 - australian | paper | SMOTE:True | Focal:False | Fold 3 Acc: 0.9275
2026-04-23 20:03:33,426 - australian | paper | SMOTE:True | Focal:False | Fold 4 Acc: 0.7826
2026-04-23 20:03:33,812 - australian | paper | SMOTE:True | Focal:False | Fold 5 Acc: 0.8551
2026-04-23 20:03:34,211 - australian | paper | SMOTE:True | Focal:False | Fold 6 Acc: 0.8841
2026-04-23 20:03:34,665 - australian | paper | SMOTE:True | Focal:False | Fold 7 Acc: 0.7391
2026-04-23 20:03:35,015 - australian | paper | SMOTE:True | Focal:False | Fold 8 Acc: 0.8406
2026-04-23 20:03:35,529 - australian | paper | SMOTE:True | Focal:False | Fold 9 Acc: 0.8261
2026-04-23 20:03:35,884 - australian | paper | SMOTE:True | Focal:False | Fold 10 Acc: 0.8986
2026-04-23 20:03:36,512 - australian | attn | SMOTE:False | Focal:True | Fold 1 Acc: 0.8986
2026-04-23 20:03:37,057 - australian | attn | SMOTE:False | Focal:True | Fold 2 Acc: 0.8841
2026-04-23 20:03:37,747 - australian | attn | SMOTE:False | Focal:True | Fold 3 Acc: 0.9130
2026-04-23 20:03:38,350 - australian | attn | SMOTE:False | Focal:True | Fold 4 Acc: 0.8116
2026-04-23 20:03:38,937 - australian | attn | SMOTE:False | Focal:True | Fold 5 Acc: 0.8696
2026-04-23 20:03:39,685 - australian | attn | SMOTE:False | Focal:True | Fold 6 Acc: 0.8841
2026-04-23 20:03:40,863 - australian | attn | SMOTE:False | Focal:True | Fold 7 Acc: 0.7971
2026-04-23 20:03:41,907 - australian | attn | SMOTE:False | Focal:True | Fold 8 Acc: 0.8406
2026-04-23 20:03:42,786 - australian | attn | SMOTE:False | Focal:True | Fold 9 Acc: 0.8116
2026-04-23 20:03:43,598 - australian | attn | SMOTE:False | Focal:True | Fold 10 Acc: 0.9420
2026-04-23 20:04:04,387 - taiwan | paper | SMOTE:False | Focal:False | Fold 1 Acc: 0.8208
2026-04-23 20:04:24,400 - taiwan | paper | SMOTE:False | Focal:False | Fold 2 Acc: 0.8138
2026-04-23 20:04:44,651 - taiwan | paper | SMOTE:False | Focal:False | Fold 3 Acc: 0.8148
2026-04-23 20:05:05,678 - taiwan | paper | SMOTE:False | Focal:False | Fold 4 Acc: 0.8225
