metric,n_pairs,left_mean,right_mean,mean_difference_left_minus_right,wilcoxon_statistic,wilcoxon_pvalue,ttest_statistic,ttest_pvalue,dataset,model,comparison,left_condition,right_condition
accuracy,10,0.8551,0.8623,-0.0072,10.5,0.3906,-1.627,0.1382,australian,mlp,baseline_vs_weighted_bce,baseline,weighted_bce
f1,10,0.8314,0.8426,-0.0112,9.0,0.1289,-2.0275,0.0732,australian,mlp,baseline_vs_weighted_bce,baseline,weighted_bce
pr_auc,10,0.9154,0.917,-0.0016,26.0,0.9219,-0.3561,0.73,australian,mlp,baseline_vs_weighted_bce,baseline,weighted_bce
balanced_accuracy,10,0.8531,0.8621,-0.009,5.5,0.0469,-1.942,0.084,australian,mlp,baseline_vs_weighted_bce,baseline,weighted_bce
accuracy,10,0.8435,0.8623,-0.0188,3.5,0.0938,-2.1768,0.0575,australian,mlp,smoteenn_vs_weighted_bce,smoteenn,weighted_bce
f1,10,0.819,0.8426,-0.0236,5.0,0.0391,-2.1952,0.0558,australian,mlp,smoteenn_vs_weighted_bce,smoteenn,weighted_bce
pr_auc,10,0.9022,0.917,-0.0147,10.0,0.084,-1.7808,0.1086,australian,mlp,smoteenn_vs_weighted_bce,smoteenn,weighted_bce
balanced_accuracy,10,0.8414,0.8621,-0.0207,5.0,0.0352,-2.181,0.0571,australian,mlp,smoteenn_vs_weighted_bce,smoteenn,weighted_bce
accuracy,10,0.8435,0.8623,-0.0188,1.5,0.0469,-2.7508,0.0224,australian,mlp,smoteenn_vs_focal_loss,smoteenn,focal_loss
f1,10,0.819,0.8442,-0.0252,3.0,0.0195,-2.8761,0.0183,australian,mlp,smoteenn_vs_focal_loss,smoteenn,focal_loss
pr_auc,10,0.9022,0.9213,-0.0191,14.0,0.1934,-2.0124,0.075,australian,mlp,smoteenn_vs_focal_loss,smoteenn,focal_loss
balanced_accuracy,10,0.8414,0.8621,-0.0206,3.0,0.0195,-2.8917,0.0178,australian,mlp,smoteenn_vs_focal_loss,smoteenn,focal_loss
accuracy,10,0.8207,0.7243,0.0964,0.0,0.002,5.646,0.0003,default_credit,gru,baseline_vs_smoteenn,baseline,smoteenn
f1,10,0.4674,0.513,-0.0456,3.0,0.0098,-4.6781,0.0012,default_credit,gru,baseline_vs_smoteenn,baseline,smoteenn
pr_auc,10,0.5525,0.5218,0.0307,0.0,0.002,8.6904,0.0,default_credit,gru,baseline_vs_smoteenn,baseline,smoteenn
balanced_accuracy,10,0.6543,0.6979,-0.0436,0.0,0.002,-7.3808,0.0,default_credit,gru,baseline_vs_smoteenn,baseline,smoteenn
accuracy,10,0.8207,0.7656,0.0552,0.0,0.002,22.1897,0.0,default_credit,gru,baseline_vs_weighted_bce,baseline,weighted_bce
f1,10,0.4674,0.5325,-0.0651,0.0,0.002,-11.1572,0.0,default_credit,gru,baseline_vs_weighted_bce,baseline,weighted_bce
pr_auc,10,0.5525,0.5498,0.0026,15.0,0.2324,1.0951,0.3019,default_credit,gru,baseline_vs_weighted_bce,baseline,weighted_bce
balanced_accuracy,10,0.6543,0.7077,-0.0534,0.0,0.002,-15.2369,0.0,default_credit,gru,baseline_vs_weighted_bce,baseline,weighted_bce
accuracy,10,0.7243,0.7656,-0.0413,5.0,0.0195,-2.5648,0.0304,default_credit,gru,smoteenn_vs_weighted_bce,smoteenn,weighted_bce
f1,10,0.513,0.5325,-0.0195,2.0,0.0059,-2.7179,0.0237,default_credit,gru,smoteenn_vs_weighted_bce,smoteenn,weighted_bce
pr_auc,10,0.5218,0.5498,-0.028,0.0,0.002,-6.0863,0.0002,default_credit,gru,smoteenn_vs_weighted_bce,smoteenn,weighted_bce
balanced_accuracy,10,0.6979,0.7077,-0.0098,14.0,0.1934,-2.1085,0.0642,default_credit,gru,smoteenn_vs_weighted_bce,smoteenn,weighted_bce
accuracy,10,0.7243,0.7634,-0.0391,5.0,0.0391,-2.6582,0.0261,default_credit,gru,smoteenn_vs_focal_loss,smoteenn,focal_loss
f1,10,0.513,0.5328,-0.0198,6.0,0.0273,-2.9084,0.0174,default_credit,gru,smoteenn_vs_focal_loss,smoteenn,focal_loss
pr_auc,10,0.5218,0.5484,-0.0266,0.0,0.002,-6.1138,0.0002,default_credit,gru,smoteenn_vs_focal_loss,smoteenn,focal_loss
balanced_accuracy,10,0.6979,0.7082,-0.0103,12.0,0.1309,-2.2436,0.0515,default_credit,gru,smoteenn_vs_focal_loss,smoteenn,focal_loss
accuracy,10,0.8196,0.7266,0.093,0.0,0.002,4.1932,0.0023,default_credit,lstm,baseline_vs_smoteenn,baseline,smoteenn
f1,10,0.4647,0.476,-0.0113,14.0,0.1934,-0.3627,0.7252,default_credit,lstm,baseline_vs_smoteenn,baseline,smoteenn
pr_auc,10,0.5428,0.4778,0.065,0.0,0.002,3.3999,0.0079,default_credit,lstm,baseline_vs_smoteenn,baseline,smoteenn
balanced_accuracy,10,0.6532,0.6721,-0.0189,13.0,0.1602,-1.0785,0.3089,default_credit,lstm,baseline_vs_smoteenn,baseline,smoteenn
accuracy,10,0.8196,0.7733,0.0463,0.0,0.002,15.0025,0.0,default_credit,lstm,baseline_vs_weighted_bce,baseline,weighted_bce
f1,10,0.4647,0.5336,-0.0689,0.0,0.002,-10.5304,0.0,default_credit,lstm,baseline_vs_weighted_bce,baseline,weighted_bce
pr_auc,10,0.5428,0.5471,-0.0043,16.0,0.2754,-1.174,0.2705,default_credit,lstm,baseline_vs_weighted_bce,baseline,weighted_bce
balanced_accuracy,10,0.6532,0.7062,-0.053,0.0,0.002,-16.5601,0.0,default_credit,lstm,baseline_vs_weighted_bce,baseline,weighted_bce
accuracy,10,0.7266,0.7733,-0.0467,6.0,0.0273,-1.9549,0.0823,default_credit,lstm,smoteenn_vs_weighted_bce,smoteenn,weighted_bce
f1,10,0.476,0.5336,-0.0576,5.0,0.0195,-1.9803,0.079,default_credit,lstm,smoteenn_vs_weighted_bce,smoteenn,weighted_bce
pr_auc,10,0.4778,0.5471,-0.0693,0.0,0.002,-3.6969,0.0049,default_credit,lstm,smoteenn_vs_weighted_bce,smoteenn,weighted_bce
balanced_accuracy,10,0.6721,0.7062,-0.0341,10.0,0.084,-2.0432,0.0714,default_credit,lstm,smoteenn_vs_weighted_bce,smoteenn,weighted_bce
accuracy,10,0.7266,0.7669,-0.0403,15.0,0.2324,-1.5759,0.1495,default_credit,lstm,smoteenn_vs_focal_loss,smoteenn,focal_loss
f1,10,0.476,0.5336,-0.0577,5.0,0.0195,-1.9554,0.0823,default_credit,lstm,smoteenn_vs_focal_loss,smoteenn,focal_loss
pr_auc,10,0.4778,0.5421,-0.0643,0.0,0.002,-3.493,0.0068,default_credit,lstm,smoteenn_vs_focal_loss,smoteenn,focal_loss
balanced_accuracy,10,0.6721,0.7081,-0.036,5.0,0.0195,-2.1413,0.0609,default_credit,lstm,smoteenn_vs_focal_loss,smoteenn,focal_loss
accuracy,10,0.8212,0.6721,0.1491,0.0,0.002,21.8595,0.0,default_credit,mlp,baseline_vs_smoteenn,baseline,smoteenn
f1,10,0.4645,0.4966,-0.0321,0.0,0.002,-3.7319,0.0047,default_credit,mlp,baseline_vs_smoteenn,baseline,smoteenn
