iter	Passed	Remaining
451	44805	4758
452	44899	4658
453	45004	4559
454	45101	4460
455	45211	4362
456	45309	4263
457	45401	4163
458	45496	4063
459	45593	3964
460	45684	3864
461	45789	3766
462	45899	3668
463	46032	3571
464	46135	3472
465	46235	3373
466	46335	3274
467	46454	3176
468	46569	3078
469	46666	2978
470	46780	2880
471	46875	2780
472	46966	2680
473	47085	2582
474	47217	2485
475	47333	2386
476	47431	2287
477	47531	2187
478	47637	2088
479	47728	1988
480	47817	1888
481	47922	1789
482	48024	1690
483	48119	1590
484	48214	1491
485	48316	1391
486	48417	1292
487	48521	1193
488	48612	1093
489	48717	994
490	48822	894
491	48911	795
492	49006	695
493	49097	596
494	49195	496
495	49312	397
496	49417	298
497	49528	198
498	49629	99
499	49736	0
