iter	Logloss
289	0.3905528758
290	0.3904107287
291	0.3903142909
292	0.3901787916
293	0.3900524429
294	0.389929079
295	0.3897548077
296	0.3896891774
297	0.3894887039
298	0.3892278142
299	0.3891453586
300	0.3889959674
301	0.3887981472
302	0.3887467678
303	0.3886067575
304	0.3885399213
305	0.3883842177
306	0.3883374213
307	0.3881546393
308	0.3880075228
309	0.38773921
310	0.3876617118
311	0.3874843613
312	0.387397327
313	0.3873493832
314	0.3872427832
315	0.3870615782
316	0.3869191627
317	0.3866586352
318	0.386504528
319	0.3864376741
320	0.3863039591
321	0.3861703166
322	0.3860233928
323	0.3859445522
324	0.3858503319
325	0.3857996464
326	0.385609266
327	0.3855869005
328	0.3853770235
329	0.3853092043
330	0.3850604344
331	0.3848982858
332	0.3847450352
333	0.3845667628
334	0.3845465943
335	0.3845217612
336	0.3844227042
337	0.3842752118
338	0.3841487956
339	0.3839498372
340	0.3838970138
341	0.3838023114
342	0.3836441571
343	0.3835861655
344	0.3834965087
345	0.3834490831
346	0.3833359603
347	0.3832652844
348	0.3830147426
349	0.3829403618
350	0.3827615644
351	0.3826201597
352	0.3825518
353	0.3822790471
354	0.3822167
355	0.382048382
356	0.3818700633
357	0.3817224588
358	0.3816585251
359	0.3815914823
360	0.381522113
361	0.3814197662
362	0.3812461331
363	0.3810119645
364	0.3809087124
365	0.3807497796
366	0.3806896327
367	0.3806172302
368	0.3805196405
369	0.3804870811
370	0.3803908502
371	0.3802774565
372	0.380051283
373	0.3799060021
374	0.3797369403
375	0.3796321244
376	0.379579157
377	0.3795319462
378	0.3793981245
379	0.3793078336
380	0.3792015579
381	0.3791550675
382	0.3791212881
383	0.3790278928
384	0.3789451609
385	0.3787622331
386	0.378681427
387	0.3785145088
388	0.3784035523
389	0.3782597171
390	0.378176919
391	0.3781500954
392	0.3780938909
393	0.377942281
394	0.3778472866
395	0.37775312
396	0.3776895685
397	0.3776228915
398	0.3775363742
399	0.3773745109
400	0.3771683163
401	0.3770299587
402	0.3769315206
403	0.3768317627
404	0.3767734543
405	0.3765721638
406	0.3763623444
407	0.3761994957
408	0.3760212604
409	0.375903319
410	0.3757910198
411	0.3755980463
412	0.3755281813
413	0.3754240324
414	0.375320661
415	0.375203273
416	0.3751038702
417	0.3750528499
418	0.3749662257
419	0.3747398351
420	0.3746529858
421	0.3745107249
422	0.374388841
423	0.3742488545
424	0.3742222272
425	0.3740733826
426	0.3739906075
427	0.3739809339
428	0.3739587014
429	0.3737979744
430	0.3737126264
431	0.3734925196
432	0.3733552496
433	0.3731872014
434	0.3730912832
435	0.3730220068
436	0.3728992496
437	0.372829515
438	0.372704129
439	0.3725807057
440	0.3724557887
441	0.3723730498
442	0.3722171545
443	0.3722138486
444	0.3720712551
445	0.3720549961
446	0.3719302187
447	0.3718216805
448	0.3717194417
449	0.3715107336
450	0.3713916804
451	0.3712757079
452	0.3711763626
453	0.3710978667
454	0.370962612
455	0.3708073047
456	0.3705918864
457	0.3705276357
458	0.3704407762
459	0.3703062154
460	0.3702296576
461	0.3701116053
462	0.3700213041
463	0.3698953433
464	0.3697925889
465	0.3695988944
466	0.3695386011
467	0.3693968493
468	0.369304117
469	0.3692232863
470	0.369169086
471	0.3689692976
472	0.368843091
473	0.3687025963
474	0.3685429842
475	0.3684425843
476	0.3682790778
477	0.3682264471
478	0.3681950898
479	0.3680976139
480	0.3680948839
481	0.3680252414
482	0.3678569065
483	0.3677459081
484	0.3677023211
485	0.3676068257
486	0.3675003723
487	0.3673835098
488	0.3672258335
489	0.367087176
490	0.3669934286
491	0.3669060305
492	0.3667775047
493	0.3666580992
494	0.3665736607
495	0.3664178595
496	0.3663230653
497	0.3662505518
498	0.3661838186
499	0.3661166656
