iter	Logloss
0	0.6654753382
1	0.6413975008
2	0.6195854689
3	0.5996702387
4	0.5821458512
5	0.5653214813
6	0.5507345459
7	0.5378769641
8	0.5263733399
9	0.5161158332
10	0.506755159
11	0.499276695
12	0.4920731985
13	0.485457133
14	0.4793293471
15	0.47408314
16	0.4695505146
17	0.4650070517
18	0.4615212028
19	0.4581899001
20	0.4550576322
21	0.4521909831
22	0.4498246807
23	0.4473373628
24	0.4453114704
25	0.4435936646
26	0.4416677599
27	0.4400476241
28	0.4387188987
29	0.4374796616
30	0.4360958773
31	0.4349261481
32	0.4337229183
33	0.4326923377
34	0.4318173699
35	0.4309103427
36	0.4300841309
37	0.4295949243
38	0.4290120605
39	0.4283297859
40	0.4276241703
41	0.4270043415
42	0.4263621495
43	0.4259362226
44	0.4254410091
45	0.4250790936
46	0.4245695564
47	0.424282994
48	0.4237307218
49	0.4233276046
50	0.4229271419
51	0.42250052
52	0.4222790039
53	0.4219644733
54	0.4217307782
55	0.4214987199
56	0.4212051032
57	0.4209538053
58	0.4205992959
59	0.4203401873
60	0.4200717841
61	0.419760406
62	0.4194879274
63	0.4193048346
64	0.4191435678
65	0.4190483125
66	0.4188447291
67	0.4187062404
68	0.4185662764
69	0.4182283163
70	0.4180552498
71	0.4178094763
72	0.4176539933
73	0.417337997
74	0.4170371797
75	0.4168016486
76	0.4166706156
77	0.4164612119
78	0.4163612248
79	0.4162175064
80	0.4160122648
81	0.4159953827
82	0.4158326112
83	0.4156766279
84	0.4154796251
85	0.4153959761
86	0.4152548629
87	0.4151189276
88	0.4148745478
89	0.4146651321
90	0.4145693809
91	0.4144606214
92	0.4143353167
93	0.4141496228
94	0.4140006087
95	0.4139748709
96	0.4139266185
97	0.4138215449
98	0.4136880394
99	0.4135618153
100	0.4133950319
101	0.4132277486
102	0.4131212283
103	0.4129647631
104	0.4128566406
105	0.412628857
106	0.4124304309
107	0.4122785016
108	0.4122486133
109	0.41217777
110	0.4120816308
111	0.4119657855
112	0.4117825275
113	0.4116613994
114	0.4115656966
115	0.4114272835
116	0.4112820375
117	0.4111804199
118	0.4109903806
119	0.4109603649
120	0.4108763306
121	0.4106674152
122	0.4104782485
123	0.4103130495
124	0.410255205
125	0.4100960026
126	0.4099857974
127	0.4098685007
128	0.4098276515
129	0.4096940448
130	0.409560605
131	0.409342302
132	0.4092947023
133	0.4091870668
134	0.4090848065
135	0.4089386282
136	0.4089060827
137	0.4087894712
138	0.4086704812
139	0.4085773946
140	0.4084298079
141	0.4083106036
142	0.4082305546
143	0.4081010017
144	0.408036863
145	0.4079974998
146	0.4077930678
147	0.4077180058
148	0.407670782
149	0.4076277306
150	0.4075388304
151	0.4074748024
152	0.407413287
153	0.4073747013
154	0.4072905956
155	0.4071178446
156	0.4069726358
157	0.4068525462
158	0.406775525
159	0.4066040245
160	0.4065307454
161	0.4063959067
162	0.4063679397
163	0.4062861726
164	0.4061144181
165	0.4060576428
166	0.4058387788
167	0.4058003593
168	0.4057742082
169	0.4056457108
170	0.4055690594
171	0.4054227456
172	0.4053059928
173	0.4051637776
174	0.4050220318
175	0.4049387967
176	0.4047750072
177	0.4047212014
178	0.4045140767
179	0.4043822163
180	0.4043435377
181	0.4042746467
182	0.4041705095
183	0.4041107491
184	0.404024367
185	0.4038103585
186	0.4036976637
187	0.4035789959
188	0.4034472257
189	0.4032885767
190	0.4030662015
191	0.402948778
192	0.4028229142
193	0.4025893124
194	0.4025442843
195	0.402414458
196	0.4021737385
197	0.4021433712
198	0.4019511959
199	0.4017292888
200	0.4016502487
201	0.4016456405
202	0.4015167081
203	0.4014469929
204	0.401316691
205	0.4012643055
206	0.4011723376
207	0.4010307198
208	0.4008617195
209	0.4007391474
210	0.400520362
211	0.4004128813
212	0.4001763772
213	0.4000443574
214	0.3998860101
215	0.3998084587
216	0.3998069581
217	0.3997333836
218	0.3995394474
219	0.3994688287
220	0.3993519265
221	0.3992031644
222	0.3990227052
223	0.3988821601
224	0.3988399469
225	0.398686575
226	0.3984516895
227	0.3983465544
228	0.3982752297
229	0.3981889964
230	0.3980991072
231	0.3979406806
232	0.3978751715
233	0.3976557967
234	0.3974614031
235	0.397291846
236	0.3970900608
237	0.3970197781
238	0.3968895961
239	0.3966671164
240	0.396548562
241	0.3963860704
242	0.3962965381
243	0.3960578091
244	0.3959573989
245	0.3959124657
246	0.3957938072
247	0.3957342111
248	0.3956000091
249	0.3954956749
250	0.3953930721
251	0.3953488375
252	0.3951616851
253	0.3950350352
254	0.3948844246
255	0.394780103
256	0.3947381174
257	0.3946897776
258	0.3944656515
259	0.3943086596
260	0.3942853829
261	0.3940862135
262	0.3939205732
263	0.3938975559
264	0.3937437509
265	0.3935713306
266	0.3934029554
267	0.3932663487
268	0.3932634779
269	0.3931546821
270	0.393066238
271	0.3929159006
272	0.392729437
273	0.3925503051
274	0.3924755362
275	0.3922658557
276	0.3921257182
277	0.3920466116
278	0.3917976768
279	0.3917304527
280	0.3915342872
281	0.3913986485
282	0.3913140979
283	0.3910807272
284	0.391034177
285	0.390888649
286	0.3908623737
287	0.3907693932
288	0.3906838142
