feature,mean_abs_shap
A4,0.04328053658185354
A7_1,0.03930689629326246
A7_0,0.03469350068940499
A9,0.02934833948056597
A6,0.015240998832520232
A8_0,0.009840542262951387
A8_1,0.009688491864713192
A13,0.007881949338855521
A1,0.007204046610232367
A12,0.006036775178377234
A3_1,0.0039206707489112995
A10_0,0.0038333843995132424
A3_2,0.0038112649418641357
A11_1,0.003557835424604709
A5_9,0.0034902218415785932
A10_1,0.0033300097229732777
A5_3,0.0029125980924232645
A0_0,0.0028781401285790913
A11_2,0.002636667039198686
A2,0.002522971521348992
A5_1,0.002392244264579043
A5_5,0.0023257751274936497
A3_3,0.002268829642019775
A11_3,0.002224035137887808
A0_1,0.0021156088718148965
A5_7,0.0019973330873528077
A5_8,0.001317978081172424
A5_4,0.0012573184645336512
A5_2,0.0
