feature,mean_abs_shap
G0,0.10900004845285118
G2,0.044822522123068295
G1,0.03621224888391444
G4,0.030542574522326216
G15,0.02539379541585558
G10,0.023836136072740283
G5,0.015749829219180816
G3,0.015598344046375062
G16,0.014644957101670892
G8,0.014101681784898958
G14,0.01306284722430881
G9,0.01298335537316386
G6,0.012049785824075626
G19,0.008868635673670435
G7,0.007018695975822411
G20,0.0058417285017094795
G17,0.004826420530551295
G23,0.004558540035121689
G13,0.004302609617166011
G22,0.004170748883127514
G21,0.004135447179896054
G12,0.0031152208081933214
G11,0.0026552067028062206
G18,0.0011170675061799196
