feature,mean_abs_shap
PAY_0,0.08186767299366543
LIMIT_BAL,0.01696213744582468
MARRIAGE_2,0.013288254835206447
PAY_4,0.012564723699959236
PAY_3,0.011717950696170088
SEX_2,0.009544997300919317
PAY_2,0.009381778893097001
EDUCATION_3,0.007737647415406011
PAY_5,0.007310221915226141
PAY_6,0.007279297584464221
PAY_AMT1,0.007132834960357273
MARRIAGE_1,0.0054671765695619694
EDUCATION_2,0.005465202440652898
EDUCATION_1,0.005379619990812544
AGE,0.005101841699121454
PAY_AMT2,0.005069023281655903
SEX_1,0.004870838274854718
EDUCATION_4,0.004324127918136067
BILL_AMT2,0.003877549754556791
PAY_AMT3,0.0036658350451222667
MARRIAGE_3,0.0034564471057275037
BILL_AMT5,0.0033564437676455545
BILL_AMT1,0.0032447225236506986
PAY_AMT5,0.0027342658898796167
BILL_AMT3,0.0025665708619358844
BILL_AMT4,0.002073831316625575
PAY_AMT4,0.0016063494166818765
PAY_AMT6,0.0015782249879937032
BILL_AMT6,0.0012929314693816017
