epoch,train_loss,val_loss
1,0.9334767551068907,0.88536221853892
2,0.90149768476133,0.876126971244812
3,0.887424227061095,0.8731512282689412
4,0.8866683669443484,0.8736266058286031
5,0.8827693918722648,0.8727444232304891
6,0.88356859726376,0.8739852328300476
7,0.8797322399527938,0.8699473322232564
8,0.8748393869046812,0.8735245594978333
9,0.874820504506429,0.8734822926521302
10,0.8713739959045693,0.8703772481282552
11,0.8703696770491424,0.8721479930877686
12,0.8666424246540776,0.8676620863278707
13,0.8676437872780693,0.8777682774861654
14,0.8645627823229189,0.8810519897143047
15,0.8659697949798019,0.8747844656308492
16,0.8615433136975323,0.8718976491292317
17,0.8606615199336299,0.873282966931661
