epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.09171772767428231,0.6006441223832528,0.07884039729833603,0.6956521739130435
2,0.0725025977825389,0.711755233494364,0.07863862067461014,0.6956521739130435
3,0.06964535824054681,0.7407407407407407,0.07897578179836273,0.6811594202898551
4,0.06799779309262784,0.7391304347826086,0.0765027180314064,0.6956521739130435
5,0.06816039705909968,0.7375201288244766,0.07781019806861877,0.6956521739130435
6,0.0665406469921559,0.7439613526570048,0.07761939615011215,0.6956521739130435
7,0.06619594322934434,0.750402576489533,0.07652401924133301,0.6956521739130435
8,0.06579552228516043,0.750402576489533,0.07722388207912445,0.6811594202898551
9,0.06952399614712466,0.7294685990338164,0.07607511430978775,0.7101449275362319
10,0.06636332363586112,0.748792270531401,0.07274425774812698,0.6666666666666666
11,0.06770054362534325,0.7439613526570048,0.07579083740711212,0.6956521739130435
12,0.06637509864261569,0.7391304347826086,0.07779701799154282,0.7101449275362319
13,0.06630625729351612,0.750402576489533,0.0762239545583725,0.6956521739130435
14,0.06554359497559435,0.7471819645732689,0.07588618993759155,0.6956521739130435
15,0.06650598178019271,0.7359098228663447,0.07489650696516037,0.7101449275362319
