epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.8500523614234665,0.5836734693877551,0.8776340484619141,0.3
2,0.6641789163861956,0.6244897959183674,0.8595783710479736,0.3
3,0.66249600154202,0.6244897959183674,0.795914888381958,0.3
4,0.6621496048103385,0.6244897959183674,0.8475422263145447,0.3
5,0.6567097207315925,0.6244897959183674,0.7911391854286194,0.3
6,0.6506195007538309,0.6571428571428571,0.7319355607032776,0.48
7,0.6220307233382244,0.6639455782312925,0.9648910164833069,0.3
8,0.6164015964585907,0.6789115646258503,0.8359586000442505,0.51
9,0.610979055466295,0.6925170068027211,0.8576627969741821,0.51
10,0.611704974028529,0.691156462585034,0.8235850930213928,0.52
11,0.6127191710634297,0.6802721088435374,0.8424971699714661,0.52
