epoch,train_loss,val_loss
1,0.674448442284499,0.8564068675041199
2,0.6642160575177158,0.7945321202278137
3,0.6576883124606746,0.8784182667732239
4,0.6589172131688236,0.8059535026550293
5,0.6517401227303414,0.8456042408943176
6,0.6246768298066567,0.8191244602203369
7,0.5837874177610192,0.749733030796051
8,0.552631895170707,0.8617194294929504
9,0.5307141339255078,0.8631826043128967
10,0.511475156690087,0.790352463722229
11,0.4850609858883681,0.9542306065559387
12,0.47780212113130266,0.9115776419639587
