epoch,train_loss,val_loss
1,0.6809665475572858,2.632356882095337
2,0.9408124600137983,0.7861174941062927
3,0.5512208427701678,0.6908300518989563
4,0.7440022826194763,0.676885187625885
5,0.6268632071358817,0.6589243412017822
6,0.5400680644171578,0.5937815308570862
7,0.7398453993456704,0.6200064420700073
8,0.5471185701234,0.6112850308418274
9,0.4892303688185556,0.6100804805755615
10,0.45835302557264057,0.591449499130249
11,0.4038743419306619,0.5899357795715332
12,0.35432298268590656,0.6760053038597107
13,0.4222614680017744,0.6058030128479004
14,0.3474083627973284,0.6249196529388428
15,0.346887754542487,0.6341149806976318
16,0.3173549324274063,0.6418744921684265
