epoch,train_loss,val_loss
1,0.6792369058768674,0.6617807745933533
2,0.6137665647726792,0.5888935327529907
3,0.505518670130639,0.5321286916732788
4,0.5040845099617454,0.5587995648384094
5,0.5069198322511906,0.5413308143615723
6,0.4694778382508463,0.5239142775535583
7,0.4325782682291523,0.5248168706893921
8,0.3912976893903983,0.4934271275997162
9,0.36984627859085395,0.590505838394165
10,0.3702064308915203,0.5127192139625549
11,0.36619236175291137,0.5329285860061646
12,0.3599258062526651,0.49104630947113037
13,0.3526670698127056,0.5170851945877075
14,0.3418625652520365,0.5135018229484558
15,0.3375405433221101,0.49187299609184265
16,0.3239036994012772,0.5109161138534546
17,0.31723592845023485,0.5156326293945312
