epoch,train_loss,val_loss
1,0.05586464675488295,0.05241687618692716
2,0.052670849392811456,0.05210849170883496
3,0.052104902757538686,0.05175329028566678
4,0.05164243075361958,0.051513948539892836
5,0.05118492352520978,0.05224712927142779
6,0.050964129046157554,0.050899230738480884
7,0.05068780725863245,0.050257502317428586
8,0.0503166077291524,0.051099917868773145
9,0.05029886160735731,0.04996790640552839
10,0.05016962034503619,0.0502133312523365
11,0.04999136995496573,0.05037167327602704
12,0.04982612182807039,0.05007002865274747
13,0.04976267777328138,0.04997113839785258
14,0.04977474284392816,0.050385158528884255
