epoch,train_loss,val_loss
1,0.4964809501844606,0.8368894139925639
2,0.4614524570265157,0.7864546405474345
3,0.44810932606438647,0.7957616073290507
4,0.4359154997276578,0.8457678476969401
5,0.42523965506431227,0.7452467513084412
6,0.4114671321166648,0.741048448085785
7,0.40753158540616813,0.725314714272817
8,0.39814845206835564,0.7068257996241252
9,0.3803569162009376,0.7680455446243286
10,0.3957766808340893,0.7592041028340658
11,0.3929757349695214,0.8774034751256307
12,0.3807688090852663,0.761557632446289
13,0.3660128930649906,0.7581725568771363
