epoch,train_loss,val_loss
1,0.43765027674255075,0.8243391788800557
2,0.4012984979548046,0.828459389368693
3,0.38921398062622625,0.8269850177764893
4,0.3827123553681161,0.8515466596285503
5,0.37635924105992363,0.7979236720403036
6,0.3697954925600225,0.8030124309857687
7,0.3698400345716829,0.7936407087643941
8,0.36344418751913476,0.7347611788113912
9,0.3624142737477881,0.8088544855117797
10,0.3595351927111545,0.8244404481252035
11,0.35371819800452886,0.9286606632868449
12,0.34990426958157383,0.867626969496409
13,0.34673891010838653,0.8283402395248413
