epoch,train_loss,val_loss
1,1.052856629597392,0.7940639853477478
2,0.7578283150990804,0.7466018795967102
3,0.7193358938859089,0.7178947925567627
4,0.6436805620477587,0.7702840566635132
5,0.6408440666498193,0.7163171172142029
6,0.6193521070787488,0.7056483626365662
7,0.5837519882957717,0.7678259015083313
8,0.5847446760117719,0.6729915738105774
9,0.5967761274313197,0.6764761805534363
10,0.577246494723211,0.6933763027191162
11,0.555974298917153,0.6969882845878601
12,0.5655387433638703,0.6978394985198975
13,0.5555656032093865,0.669144332408905
14,0.5486274222436927,0.6860665082931519
15,0.5662325853886812,0.7680690288543701
16,0.564236723954359,0.7123576998710632
17,0.5445534740477177,0.7169508934020996
18,0.5508318540554692,0.6988273859024048
