epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.8614113811709455,0.5942028985507246,0.764675498008728,0.4492753623188406
2,0.7460697037010378,0.5491143317230274,0.7287250757217407,0.7101449275362319
3,0.7154772323878683,0.6908212560386473,0.6840473413467407,0.5072463768115942
4,0.6689553989304436,0.6892109500805152,0.602923572063446,0.782608695652174
5,0.6213718356141722,0.7391304347826086,0.586726188659668,0.7391304347826086
6,0.6064322176186935,0.7246376811594203,0.5235748887062073,0.7971014492753623
7,0.7251013358050115,0.6698872785829307,0.7548855543136597,0.43478260869565216
8,0.6615064464713448,0.6827697262479872,0.5913278460502625,0.7391304347826086
9,0.6123984235304373,0.7278582930756844,0.5681400299072266,0.7681159420289855
10,0.6044772930575262,0.7391304347826086,0.5478125810623169,0.782608695652174
11,0.5953410419481004,0.7375201288244766,0.6193460822105408,0.7246376811594203
