epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.44535583946447865,0.7642953120334428,0.831094833056132,0.6646666666666666
2,0.40806452145538036,0.7924380412063302,0.8305813277562459,0.6673333333333333
3,0.39580233387535596,0.7996790086593013,0.8102138571739197,0.6593333333333333
4,0.38894856250189996,0.8051283965362794,0.7650320485432943,0.7093333333333334
5,0.3850832770532122,0.8081143624962676,0.8354985151290893,0.6606666666666666
6,0.37977512771245364,0.8077784413257689,0.764531056245168,0.707
7,0.37420506232103046,0.8120334428187519,0.8675645429293315,0.657
8,0.3712251837590304,0.8148701104807405,0.8425639481544495,0.6693333333333333
9,0.3667283444377549,0.8205434458047178,0.808620698928833,0.7126666666666667
10,0.36556400691939667,0.8207673932517169,0.8472741365432739,0.685
11,0.36165747663162473,0.822745595700209,0.8950612001419067,0.6663333333333333
