epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.6740161261701454,0.6049046321525886,0.883328914642334,0.3
2,0.6617030345451604,0.6212534059945504,0.7899702787399292,0.3
3,0.6645880640365123,0.6212534059945504,0.7925634384155273,0.3
4,0.6604555051073392,0.6212534059945504,0.8431950211524963,0.3
5,0.6440220575891333,0.6239782016348774,0.7569189071655273,0.5
6,0.6047076733950373,0.6852861035422343,0.8319094777107239,0.41
7,0.6108476150912875,0.6498637602179836,0.8415309190750122,0.43
8,0.5965368663257734,0.715258855585831,0.9047963619232178,0.51
9,0.5882786148575411,0.6920980926430518,0.7504147887229919,0.52
10,0.5911097312168464,0.7070844686648501,0.825546383857727,0.53
11,0.5737109525327136,0.7029972752043597,0.8344982862472534,0.54
12,0.5545897243458179,0.7506811989100818,0.7601338624954224,0.57
13,0.5321169977129643,0.7574931880108992,0.8912978768348694,0.55
14,0.5488026481558257,0.7411444141689373,0.874506413936615,0.48
