epoch,train_loss,val_loss
1,0.07310209055741627,0.0723787173628807
2,0.07291076183319092,0.07233297824859619
3,0.07279521299733056,0.0721929743885994
4,0.07273861073785358,0.07200402766466141
5,0.07267092433240678,0.07207275927066803
6,0.07282175610462825,0.0720539540052414
7,0.07266723838117388,0.07201095670461655
8,0.07260146064890756,0.07181991636753082
9,0.072569137679206,0.07133328914642334
10,0.07257186035315195,0.0712212324142456
11,0.07279572440518273,0.07125502079725266
12,0.07248221976889505,0.06994151324033737
13,0.07383518536885579,0.07221440225839615
14,0.07285730487770505,0.07258528470993042
15,0.07271078313390414,0.07246845960617065
16,0.07266152968009312,0.07223563641309738
17,0.07230342851744757,0.07200901210308075
