epoch,train_loss,val_loss
1,0.46414176924140366,0.4502751402854919
2,0.4427678541165811,0.44614678716659545
3,0.44094533715424716,0.43845289770762125
4,0.43576326592763265,0.4401177364985148
5,0.4349406248198615,0.4388977959950765
6,0.4336177877938306,0.44163946104049684
7,0.4315979175567627,0.4396091136932373
8,0.43111037845964784,0.437655609925588
9,0.4309096766224614,0.4387722773551941
10,0.4296225466551604,0.43937844610214233
11,0.4292028768327501,0.44001778443654377
12,0.42878509298960366,0.43775562636057536
13,0.4280062835039916,0.4376206982930501
