epoch,train_loss,val_loss
1,0.07382131856228802,0.057308003306388855
2,0.05691100924535266,0.040893495082855225
3,0.047447495570409316,0.03617739677429199
4,0.04499377319874203,0.035748932510614395
5,0.0421952721565338,0.035311780869960785
6,0.04377561907813361,0.03707556053996086
7,0.042654809372532576,0.03542952239513397
8,0.039500307708666714,0.03501318395137787
9,0.03985869147831307,0.03536823019385338
10,0.03886370339855288,0.03517336770892143
11,0.039582110107568916,0.03600381314754486
12,0.0380929978819333,0.03552442044019699
13,0.0370949841885799,0.03623885661363602
