epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.8948507601704191,0.5893719806763285,0.6369810104370117,0.7101449275362319
2,0.6493519596431566,0.6666666666666666,0.6405554413795471,0.6811594202898551
3,0.6249401455148215,0.679549114331723,0.6235726475715637,0.6666666666666666
4,0.583154000521858,0.71658615136876,0.605629563331604,0.7101449275362319
5,0.565540299323446,0.7246376811594203,0.5934886336326599,0.6956521739130435
6,0.532989928399883,0.7584541062801933,0.5897863507270813,0.6956521739130435
7,0.5123268137423505,0.7632850241545893,0.5679891109466553,0.7246376811594203
8,0.5088461158068284,0.748792270531401,0.5897078514099121,0.6956521739130435
9,0.4950478485816919,0.7632850241545893,0.5633266568183899,0.7246376811594203
10,0.5075936519965265,0.7552334943639292,0.5574262142181396,0.7101449275362319
11,0.5224166675658234,0.7423510466988728,0.5878652930259705,0.6956521739130435
12,0.49210103396056354,0.7632850241545893,0.5764153003692627,0.7246376811594203
13,0.49115773665924195,0.7729468599033816,0.6007575392723083,0.6956521739130435
14,0.4802018935745657,0.7745571658615137,0.6380163431167603,0.6956521739130435
15,0.5111994405491532,0.7536231884057971,0.5920301675796509,0.7391304347826086
