epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.05560137285788854,0.6372222222222222,0.053730290134747824,0.7933333333333333
2,0.0523063103126155,0.7545925925925926,0.05184091411034266,0.765
3,0.05180493049378748,0.759,0.05152190637588501,0.7933333333333333
4,0.051460046304596795,0.7644444444444445,0.05174573838710785,0.7593333333333333
5,0.05112270113825798,0.7631851851851852,0.05139186517397563,0.7536666666666667
6,0.050817146660001186,0.7623333333333333,0.05050468696157138,0.7616666666666667
7,0.05048610267815767,0.7637037037037037,0.05221302611629168,0.7406666666666667
8,0.050329136984215844,0.7677037037037037,0.05023257409532865,0.7386666666666667
9,0.05021047189942113,0.7647777777777778,0.05003592307368914,0.754
10,0.050195981972747376,0.7637037037037037,0.04960275202989578,0.756
11,0.05001882734563615,0.7643703703703704,0.049685181061426796,0.762
12,0.049841550224357184,0.7634444444444445,0.05008512349923452,0.741
13,0.04985501816648024,0.7637407407407407,0.05001655080914497,0.7566666666666667
14,0.04973292721642388,0.7620740740740741,0.04964665279785792,0.7623333333333333
15,0.04957314182652368,0.7634074074074074,0.04951381487647692,0.7446666666666667
