epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.9427800284491645,0.6288888888888889,0.8770431280136108,0.7
2,0.8445217400126988,0.6922222222222222,0.766074001789093,0.77
3,0.7825748984018962,0.7122222222222222,0.6945950984954834,0.78
4,0.7525687016381157,0.7277777777777777,0.6846040487289429,0.78
5,0.728304779264662,0.7488888888888889,0.675606369972229,0.78
6,0.7173054144117568,0.74,0.6876267194747925,0.76
7,0.7149066187275781,0.7455555555555555,0.6879890561103821,0.74
8,0.7041865825653076,0.7355555555555555,0.6887739300727844,0.78
9,0.6826554436153836,0.7711111111111111,0.6864255666732788,0.76
10,0.6644045062859854,0.7566666666666667,0.6989158987998962,0.77
