epoch,train_loss,val_loss
1,0.8420584905050106,0.921680212020874
2,0.6703375436629522,0.8356368541717529
3,0.6667822870636506,0.8274267315864563
4,0.6652552212616404,0.9143435955047607
5,0.6688258953250397,0.7705243229866028
6,0.6676634348705613,0.8324242234230042
7,0.6639983524093835,0.797186553478241
8,0.6639198716070087,0.7436423897743225
9,0.6672841494024937,0.7898352742195129
10,0.6670715810492513,0.8613888621330261
11,0.6645167885749151,0.7854429483413696
12,0.6659943570233171,0.8049080967903137
13,0.6646146200983011,0.8187176585197449
