epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.6365825300746494,0.6888888888888889,0.6132564544677734,0.7
2,0.613041885693868,0.7,0.6122437715530396,0.7
3,0.6113198913468255,0.7,0.6140995025634766,0.7
4,0.618597247865465,0.7,0.6135450005531311,0.7
5,0.6144847946696811,0.7,0.6114333868026733,0.7
6,0.6133435722192129,0.7,0.6096009612083435,0.7
7,0.6078907125526004,0.7,0.6112827658653259,0.7
8,0.6119537989298502,0.7,0.6075146198272705,0.7
9,0.6077068021562364,0.7,0.6041722893714905,0.7
10,0.608367833826277,0.7,0.6019011735916138,0.7
11,0.6097035715315077,0.7,0.6039971113204956,0.7
12,0.6092388926612007,0.7,0.5999494791030884,0.7
13,0.6074812957975599,0.7,0.5950669646263123,0.7
14,0.6047800739606222,0.6988888888888889,0.5986770391464233,0.7
15,0.6077745782004462,0.6977777777777778,0.6013659238815308,0.7
16,0.6076100034183926,0.7,0.6025726795196533,0.7
17,0.6084428520997366,0.7,0.5961698889732361,0.7
18,0.6028870911068387,0.7,0.5938898324966431,0.7
19,0.5985311518775093,0.7,0.597843587398529,0.69
20,0.6128754544258118,0.6944444444444444,0.5994922518730164,0.7
21,0.6075473480754429,0.7,0.6001285314559937,0.7
22,0.6065430241160923,0.7,0.5961469411849976,0.7
23,0.6029496942626106,0.7,0.5877832174301147,0.7
24,0.596898050573137,0.6988888888888889,0.5776135325431824,0.69
25,0.5917251629299588,0.7022222222222222,0.5756517648696899,0.7
26,0.5951383288701375,0.7011111111111111,0.5868664979934692,0.69
27,0.6088996129565769,0.6833333333333333,0.5970072150230408,0.69
28,0.5942770030763415,0.6966666666666667,0.5948580503463745,0.69
29,0.5913906729221344,0.6955555555555556,0.5933897495269775,0.67
30,0.587102329466078,0.6966666666666667,0.5767545700073242,0.68
