epoch,train_loss,val_loss
1,0.07255122197998895,0.06641580164432526
2,0.06364515526427163,0.061039213091135025
3,0.059213489691416425,0.05959784984588623
4,0.057560621201992034,0.05845082551240921
5,0.05693694860570961,0.05821429565548897
6,0.055942337512969974,0.05790988728404045
7,0.05381740570068359,0.05798496678471565
8,0.053613214385178354,0.05645127594470978
9,0.05205460651053323,0.0572119802236557
10,0.050817163056797454,0.057815875858068466
11,0.04980768213669459,0.05828559398651123
12,0.04917558342218399,0.05831068009138107
13,0.05027623110347324,0.058446817100048065
