epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.05485911567122848,0.6725555555555556,0.050784571021795274,0.788
2,0.05255083261043937,0.7473333333333333,0.051096109141906106,0.7503333333333333
3,0.05217254340869409,0.7447407407407407,0.050467052121957144,0.7683333333333333
4,0.05170108895500501,0.7550740740740741,0.049638310551643375,0.758
5,0.05125297717474125,0.7597407407407407,0.05169300975402196,0.805
6,0.05093272423192307,0.7617407407407407,0.04966440516710281,0.757
7,0.050734911724373145,0.7587037037037037,0.04937146132191022,0.7946666666666666
8,0.05040391610949128,0.763962962962963,0.04912749198079109,0.7783333333333333
9,0.050487272379574955,0.7663703703703704,0.04938589651385943,0.7523333333333333
10,0.050181612767555096,0.7646666666666667,0.049112078706423444,0.776
11,0.0500311946383229,0.7648518518518519,0.049486359000205996,0.7393333333333333
12,0.04993902696945049,0.7594444444444445,0.0494635268052419,0.772
13,0.049824169169973447,0.7645185185185185,0.049838165243466695,0.7616666666666667
