epoch,train_loss,val_loss
1,0.7272926553627911,0.6710971593856812
2,0.5986498441673131,0.5331199765205383
3,0.45214617713062083,0.44068488478660583
4,0.3942333231417645,0.39996254444122314
5,0.3654710823211117,0.3570643365383148
6,0.36384238741824015,0.3447515368461609
7,0.3526461240558041,0.33752530813217163
8,0.34257436772859423,0.3316449224948883
9,0.33681922414356574,0.34062671661376953
10,0.33669162367661026,0.3382680118083954
11,0.33490058070651574,0.331476092338562
12,0.32484718658114015,0.3270374834537506
13,0.3305593873951554,0.3334730267524719
14,0.3126304522036738,0.3317900002002716
15,0.30994810142378876,0.3187044858932495
16,0.32449000785892135,0.30636221170425415
17,0.2952208582809774,0.31024640798568726
18,0.29992341560922,0.30313748121261597
19,0.3066041136037516,0.300574392080307
20,0.28041241883079787,0.2939702570438385
21,0.2765712776909704,0.3091138005256653
22,0.27979303330135036,0.308141827583313
23,0.2843711276849111,0.30079972743988037
24,0.2741429901257421,0.29619964957237244
25,0.2717071118466136,0.30739298462867737
