epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.4671560498961696,0.8095555555555556,0.43305380527178444,0.823
2,0.44779291304835567,0.8158518518518518,0.42427699557940163,0.8253333333333334
3,0.4410043293811657,0.8180740740740741,0.42249061266581217,0.8223333333333334
4,0.43965190206633675,0.8191481481481482,0.42060266915957134,0.8216666666666667
5,0.43725635714001126,0.8198518518518518,0.4237251467704773,0.8233333333333334
6,0.4359616278100897,0.819925925925926,0.4213423403898875,0.8173333333333334
7,0.4339001475793344,0.819,0.4207209018071493,0.8226666666666667
8,0.43571214478104203,0.8208518518518518,0.4159820826848348,0.8203333333333334
9,0.4334640597414087,0.8205185185185185,0.41706724945704143,0.8216666666666667
10,0.4329590193872099,0.819962962962963,0.4215892519156138,0.8196666666666667
11,0.4319125008583069,0.8207037037037037,0.4153829816977183,0.8233333333333334
12,0.4307570427082203,0.8224074074074074,0.41618481755256653,0.8246666666666667
13,0.4304209898842706,0.821037037037037,0.416783863623937,0.8203333333333334
14,0.4294743435206237,0.8213333333333334,0.4153925312360128,0.824
15,0.42891081469147296,0.8204444444444444,0.4167277986208598,0.8206666666666667
16,0.42899757938031796,0.8214814814814815,0.4154934815565745,0.8213333333333334
