epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.9725082733896043,0.38,0.9688205718994141,0.67
2,0.9697564140955607,0.6555555555555556,0.9673579335212708,0.68
3,0.9695783392588297,0.6777777777777778,0.9669732451438904,0.68
4,0.9688619507683648,0.5922222222222222,0.9641032218933105,0.48
5,0.9704101292292276,0.48333333333333334,0.9614242911338806,0.49
6,0.970473911497328,0.32666666666666666,0.9643005132675171,0.3
7,0.9689040994644165,0.4033333333333333,0.963541567325592,0.54
8,0.9685097826851738,0.5866666666666667,0.9626035094261169,0.69
9,0.967701505555047,0.5722222222222222,0.9626559019088745,0.67
10,0.9672083049350315,0.5977777777777777,0.9633395671844482,0.59
