epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.0731312585208151,0.49444444444444446,0.07308518886566162,0.69
2,0.07307900269826254,0.6322222222222222,0.0725049376487732,0.45
3,0.07283298793766234,0.5666666666666667,0.07230134308338165,0.68
4,0.07286510838402642,0.44,0.07218990474939346,0.7
5,0.07277564855085479,0.4622222222222222,0.07205748558044434,0.7
6,0.07374708208772872,0.6622222222222223,0.0721525102853775,0.69
7,0.07285472008917067,0.3977777777777778,0.07236658036708832,0.32
8,0.07275446342097389,0.4588888888888889,0.07255808264017105,0.67
9,0.07285911944177416,0.6444444444444445,0.07251162827014923,0.67
10,0.07288970708847047,0.40444444444444444,0.07249011099338531,0.43
