epoch,train_loss,val_loss
1,0.08104588711655274,0.07177054136991501
2,0.07131934129961447,0.06556805223226547
3,0.070715739051309,0.06355085968971252
4,0.07205816501100666,0.06488437205553055
5,0.06846985416471862,0.06268873065710068
6,0.06841227033096044,0.06297644972801208
7,0.06761643065562571,0.06251989305019379
8,0.06697918222722224,0.06162187457084656
9,0.0674211946638502,0.06125739961862564
10,0.06592848295894797,0.06044197082519531
11,0.06561467515817587,0.06065033748745918
12,0.06482980152571068,0.06014265492558479
13,0.06427458483551819,0.05909040942788124
14,0.06417035894549411,0.060029562562704086
15,0.06397585787370969,0.059721849858760834
16,0.06452822666045356,0.05961035564541817
17,0.06385918591477445,0.05868994817137718
18,0.06195701158421051,0.05610338971018791
19,0.06125312689061902,0.05339933559298515
20,0.060289271733755076,0.05270058289170265
21,0.05887586117126707,0.05213603004813194
22,0.057794600551207095,0.045991476625204086
23,0.05535030903687608,0.047939807176589966
24,0.05421867897065173,0.04463895410299301
25,0.05706347790269268,0.05026548355817795
26,0.058652191364390836,0.050006087869405746
27,0.054599995066482276,0.03917745128273964
28,0.052352216694618,0.04135507717728615
29,0.051546790347631044,0.039930474013090134
30,0.049831322497791715,0.041842661798000336
31,0.050229472274653575,0.04047255218029022
32,0.05019932459206013,0.03951772302389145
