epoch,train_loss,val_loss
1,0.9806608089517664,1.0084697836240133
2,0.9375929369749846,0.9165582396189371
3,0.9218606999715169,0.9083492554028829
4,0.9144179681495384,0.9091758599281311
5,0.9088471401179279,0.8963539956410725
6,0.903445055520093,0.8972192203203837
7,0.8989074383841621,0.8932972712516785
8,0.896399730541088,0.900668093363444
9,0.8950593377042699,0.8957600022951762
10,0.8893809176197759,0.906712076028188
11,0.8872064728560272,0.8891439412434896
12,0.8889073413566306,0.8899414461453755
13,0.8833538528195134,0.890417212486267
14,0.8815258308340002,0.8840962111155192
15,0.8806738924273738,0.8858753363291423
16,0.8764139170646668,0.8870429390271505
17,0.8754202856311092,0.8893690034548442
18,0.872792103378861,0.8870998388926188
19,0.8717820972160056,0.8864730327924093
