epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.0652757442262437,0.5534814814814815,1.005867764790853,0.772
2,0.9483444566903291,0.7687407407407407,0.9620522858301799,0.7946666666666666
3,0.9297924609007658,0.7753333333333333,0.9515412807464599,0.782
4,0.9183551341869213,0.7688518518518519,0.9541578559875489,0.7893333333333333
5,0.9146587997012668,0.7751111111111111,0.9331192617416382,0.786
6,0.9130968064732021,0.769,0.9319330838521321,0.7876666666666666
7,0.9053560064280475,0.7697407407407407,0.928913205464681,0.765
8,0.9010809010399713,0.7686666666666667,0.9349503607749939,0.7376666666666667
9,0.9000336707433064,0.7692592592592593,0.9218471403121948,0.761
10,0.8937496728897095,0.7658518518518519,0.9175628439585368,0.7716666666666666
11,0.8933147608615734,0.766,0.921175492922465,0.7886666666666666
12,0.8903581203884549,0.7682222222222223,0.9285121994018555,0.756
13,0.8878611173276548,0.7676296296296297,0.9219901595115662,0.734
14,0.888259707486188,0.7715555555555556,0.9243884811401367,0.753
15,0.8851439472481056,0.7674444444444445,0.9105807387034098,0.7643333333333333
16,0.8845515985312286,0.7703703703703704,0.9166137906710307,0.7686666666666667
17,0.8836440501036468,0.7714814814814814,0.9167836351394654,0.7426666666666667
18,0.8804201293698064,0.7671111111111111,0.9135037633577983,0.763
19,0.8794139197844046,0.7681481481481481,0.9189604695638021,0.7606666666666667
20,0.8774483651585049,0.767962962962963,0.9128646100362142,0.7636666666666667
