epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.628547862370809,0.6688888888888889,0.5558553338050842,0.7
2,0.5511821574634976,0.7033333333333334,0.5153699517250061,0.72
3,0.5073998673756918,0.7477777777777778,0.4847196042537689,0.75
4,0.48447620762719046,0.77,0.4773942530155182,0.78
5,0.46883243322372437,0.78,0.46733272075653076,0.78
6,0.4561829978889889,0.7866666666666666,0.46570250391960144,0.77
7,0.4580616052945455,0.7933333333333333,0.47703173756599426,0.76
8,0.44922970838016935,0.8066666666666666,0.47292742133140564,0.79
9,0.44502139727274576,0.7944444444444444,0.47722136974334717,0.78
10,0.43768920408354867,0.7933333333333333,0.4684503972530365,0.8
11,0.4305396763483683,0.8211111111111111,0.46808138489723206,0.8
