epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.6563811703496685,0.7262693156732892,0.604029655456543,0.855072463768116
2,0.5194705432613954,0.9381898454746137,0.4679718613624573,0.855072463768116
3,0.3179502082581552,0.9757174392935982,0.32316678762435913,0.8840579710144928
4,0.15170444686286497,0.9713024282560706,0.2730071544647217,0.855072463768116
5,0.07428350091128555,0.9889624724061811,0.2628996670246124,0.8695652173913043
6,0.04905191920779925,0.9889624724061811,0.27094313502311707,0.855072463768116
7,0.0384621350320825,0.9889624724061811,0.27173516154289246,0.8840579710144928
8,0.02670049887750849,0.9955849889624724,0.2769325077533722,0.8985507246376812
9,0.022310242810076878,0.9977924944812362,0.2827026844024658,0.8985507246376812
10,0.015568413717721571,0.9977924944812362,0.29234781861305237,0.8840579710144928
