epoch,train_loss,val_loss
1,0.16800398848674916,0.07815758138895035
2,0.09052964850612309,0.07921987771987915
3,0.07507764146139849,0.07263582944869995
4,0.07137220964771537,0.07862187922000885
5,0.07431959681176908,0.07213722914457321
6,0.06866584615047043,0.07148361206054688
7,0.06613909865874983,0.06833118200302124
8,0.06329952062208104,0.06842309236526489
9,0.06649494798623037,0.06740842014551163
10,0.06408991107354226,0.06753718107938766
11,0.06354128876506035,0.07327467203140259
12,0.0646538458848537,0.0671987235546112
13,0.06359243433736565,0.06794872879981995
14,0.06254452966069637,0.06888217478990555
15,0.0630599696567093,0.06766925007104874
16,0.06421610228297407,0.06751278042793274
17,0.06345528912477064,0.06733808666467667
