epoch,train_loss,val_loss
1,0.9632028447963573,0.9793417844772339
2,0.9296436268135353,0.9510882867177327
3,0.9240562351544698,0.9730240952173869
4,0.9157796906895108,0.9265860662460327
5,0.9083018880067049,0.9222219505310059
6,0.9026787465766625,0.9251926282246907
7,0.8968514298862881,0.9184352280298869
8,0.8921538123024835,0.9214775597254435
9,0.8893172895996659,0.9130427169799805
10,0.8859586395334315,0.9185151060422262
11,0.8822136564961186,0.9108148679733277
12,0.8830773807454992,0.9122404842376709
13,0.8798209631001508,0.9042600000699361
14,0.8788621269508644,0.9078220980962117
15,0.8761022723515829,0.9101726659138998
16,0.8742089246643914,0.9075134936968485
17,0.8742541992046214,0.9052183241844177
18,0.87119342134617,0.9063782196044922
