train_losses,val_losses,val_accuracies,val_sensitivities,val_specificities,Fold
0.6543136078011262,0.6432268619537354,0.69,0.7666666666666667,0.6571428571428571,0
0.578565653407397,0.5892669749259949,0.72,0.7333333333333333,0.7142857142857143,0
0.5259732711550824,0.5564379215240478,0.73,0.7333333333333333,0.7285714285714285,0
0.5006282273096936,0.5464149904251099,0.74,0.7333333333333333,0.7428571428571429,0
0.48756212870018095,0.5353610348701477,0.72,0.7,0.7285714285714285,0
0.48204535069143556,0.5404446005821228,0.72,0.7,0.7285714285714285,0
0.4774606681537785,0.5388494205474853,0.72,0.7333333333333333,0.7142857142857143,0
0.4721682316683466,0.5394794583320618,0.73,0.7333333333333333,0.7285714285714285,0
0.4695003296830116,0.5410867428779602,0.72,0.7,0.7285714285714285,0
0.46541505924363114,0.536498920917511,0.72,0.7,0.7285714285714285,0
0.46446543480261937,0.5385667777061462,0.72,0.7,0.7285714285714285,0
0.4604168141497026,0.5366194343566895,0.73,0.7333333333333333,0.7285714285714285,0
0.45552516489288164,0.5304919576644898,0.73,0.7,0.7428571428571429,0
0.45025851055856986,0.5430841135978699,0.72,0.7,0.7285714285714285,0
0.44748031449867826,0.5427534914016724,0.73,0.7333333333333333,0.7285714285714285,0
0.44243856258015263,0.5311075711250305,0.74,0.7,0.7571428571428571,0
0.4363129068245801,0.5384579038619995,0.73,0.7,0.7428571428571429,0
0.4328467649034849,0.5326044940948487,0.75,0.7,0.7714285714285715,0
0.4234768584296966,0.5344584250450134,0.76,0.7333333333333333,0.7714285714285715,0
0.4165188515009558,0.5336841440200806,0.75,0.7,0.7714285714285715,0
0.4106181879609185,0.5436888241767883,0.76,0.7,0.7857142857142857,0
0.40629774459700607,0.5429493713378907,0.74,0.6666666666666666,0.7714285714285715,0
0.40399460575529533,0.5354258799552918,0.74,0.6666666666666666,0.7714285714285715,0
0.398316820233422,0.5437900638580322,0.73,0.6666666666666666,0.7571428571428571,0
0.38860503717937817,0.5471791768074036,0.73,0.6666666666666666,0.7571428571428571,0
0.3847129595829588,0.5539207863807678,0.75,0.6666666666666666,0.7857142857142857,0
0.3791984105620785,0.5419115805625916,0.74,0.6666666666666666,0.7714285714285715,0
0.3727388393741463,0.5595836782455444,0.75,0.6666666666666666,0.7857142857142857,0
0.36448480706827646,0.5665191626548767,0.73,0.6666666666666666,0.7571428571428571,0
0.35914639291496214,0.5719329500198365,0.74,0.6666666666666666,0.7714285714285715,0
0.35474223094874197,0.5769262742996216,0.75,0.6666666666666666,0.7857142857142857,0
0.3497145953150911,0.5753733086585998,0.74,0.6666666666666666,0.7714285714285715,0
0.34476879386375525,0.5809102082252502,0.76,0.7,0.7857142857142857,0
0.3360880453759402,0.5986846995353698,0.75,0.7,0.7714285714285715,0
0.3395370558714356,0.6003041815757751,0.73,0.6333333333333333,0.7714285714285715,0
0.32792962849434754,0.6015539479255676,0.76,0.7,0.7857142857142857,0
0.32364744758095343,0.603773250579834,0.74,0.6666666666666666,0.7714285714285715,0
0.3190162387082761,0.6296204018592835,0.73,0.6666666666666666,0.7571428571428571,0
0.3182942474988186,0.6281037950515747,0.73,0.6333333333333333,0.7714285714285715,0
0.3128152389011823,0.6318837690353394,0.75,0.6666666666666666,0.7857142857142857,0
0.3100103393221609,0.6374045968055725,0.74,0.6666666666666666,0.7714285714285715,0
0.3047832719969396,0.65088454246521,0.75,0.6666666666666666,0.7857142857142857,0
0.2993119773401264,0.6538190531730652,0.74,0.6666666666666666,0.7714285714285715,0
0.2998023017921793,0.6650713276863098,0.73,0.6333333333333333,0.7714285714285715,0
0.2826194575139286,0.663860809803009,0.74,0.6333333333333333,0.7857142857142857,0
0.29078981059387055,0.6707523322105408,0.73,0.6,0.7857142857142857,0
0.28751136973819386,0.690745108127594,0.72,0.6333333333333333,0.7571428571428571,0
0.282248430039973,0.6935098314285278,0.72,0.5666666666666667,0.7857142857142857,0
0.2829657163612139,0.6900399613380432,0.73,0.5666666666666667,0.8,0
0.2714927060501972,0.7062129592895507,0.74,0.6333333333333333,0.7857142857142857,0
0.27115555159146154,0.7115094089508056,0.72,0.5666666666666667,0.7857142857142857,0
0.267046222699533,0.7271703505516052,0.72,0.5666666666666667,0.7857142857142857,0
0.26684506004292646,0.723094367980957,0.72,0.5666666666666667,0.7857142857142857,0
0.2589284847851051,0.7308701372146607,0.72,0.5666666666666667,0.7857142857142857,0
0.2544359848566071,0.7474335837364197,0.71,0.5333333333333333,0.7857142857142857,0
0.2620572612745169,0.7557424569129944,0.73,0.5666666666666667,0.8,0
0.25710073854817195,0.764380886554718,0.72,0.5666666666666667,0.7857142857142857,0
0.2440443415397278,0.761314594745636,0.72,0.5666666666666667,0.7857142857142857,0
0.25241460929788906,0.7742314100265503,0.73,0.5666666666666667,0.8,0
0.2569011516586756,0.7821689987182617,0.72,0.5666666666666667,0.7857142857142857,0
0.24936770155559457,0.7913476967811585,0.72,0.5666666666666667,0.7857142857142857,0
0.24348876862196003,0.790085928440094,0.73,0.5666666666666667,0.8,0
0.24325565704109248,0.797652714252472,0.72,0.5333333333333333,0.8,0
0.23681755231377322,0.8123745322227478,0.72,0.5666666666666667,0.7857142857142857,0
0.23163329229323437,0.8127189183235168,0.71,0.5666666666666667,0.7714285714285715,0
0.2394178586795656,0.8241939902305603,0.72,0.5666666666666667,0.7857142857142857,0
0.2373610029650677,0.8278455018997193,0.72,0.5666666666666667,0.7857142857142857,0
0.22522828370774597,0.8283783745765686,0.73,0.5666666666666667,0.8,0
0.22281113158929877,0.8463204431533814,0.73,0.5666666666666667,0.8,0
0.2255450799152918,0.846097571849823,0.71,0.5333333333333333,0.7857142857142857,0
0.2220933092190367,0.850635073184967,0.73,0.5666666666666667,0.8,0
0.2130266221537818,0.8695128250122071,0.71,0.5333333333333333,0.7857142857142857,0
0.21585574579199612,0.8579574680328369,0.73,0.5666666666666667,0.8,0
0.21559131592266642,0.8984047079086304,0.73,0.5333333333333333,0.8142857142857143,0
0.21890207648866455,0.888088071346283,0.71,0.5666666666666667,0.7714285714285715,0
0.20780907122071532,0.8886307621002197,0.73,0.5666666666666667,0.8,0
0.213232335752671,0.9043293738365173,0.72,0.5333333333333333,0.8,0
0.21274256254538673,0.9066692399978638,0.71,0.5,0.8,0
0.20391747478205446,0.9365117740631104,0.71,0.5333333333333333,0.7857142857142857,0
0.20033236184269435,0.9345947909355163,0.71,0.5333333333333333,0.7857142857142857,0
0.20570088449184348,0.9419650769233704,0.71,0.5666666666666667,0.7714285714285715,0
0.2078771067559228,0.9509724307060242,0.71,0.5333333333333333,0.7857142857142857,0
0.19930366612050246,0.9378836774826049,0.71,0.5333333333333333,0.7857142857142857,0
0.18695545469025607,0.9660676789283752,0.7,0.5333333333333333,0.7714285714285715,0
0.1897239125589955,0.9674192118644714,0.7,0.5333333333333333,0.7714285714285715,0
0.18261887199403426,0.979189076423645,0.71,0.5333333333333333,0.7857142857142857,0
0.18874449026348955,0.984088146686554,0.71,0.5333333333333333,0.7857142857142857,0
0.18133089491327276,0.9968116450309753,0.68,0.4666666666666667,0.7714285714285715,0
0.18540337372454624,0.976932566165924,0.71,0.5333333333333333,0.7857142857142857,0
0.18303129081867475,0.9951417899131775,0.7,0.5666666666666667,0.7571428571428571,0
0.18412778871456129,1.0117308545112609,0.68,0.5,0.7571428571428571,0
0.17762207881819084,0.9983330082893371,0.71,0.5333333333333333,0.7857142857142857,0
0.1765663629701542,1.0125813674926758,0.7,0.5333333333333333,0.7714285714285715,0
0.18011154968420404,1.03060542345047,0.69,0.5333333333333333,0.7571428571428571,0
0.17408689925266058,1.0310325598716736,0.68,0.5,0.7571428571428571,0
0.1739572004784862,1.03613356590271,0.69,0.5333333333333333,0.7571428571428571,0
0.17389808639368468,1.032976233959198,0.71,0.5333333333333333,0.7857142857142857,0
0.17071847793150577,1.0517470598220826,0.69,0.5,0.7714285714285715,0
0.1675761789574458,1.03535222530365,0.69,0.5,0.7714285714285715,0
0.166670299808708,1.0720185589790345,0.7,0.4666666666666667,0.8,0
0.6593492229779562,0.6217631030082703,0.76,0.7,0.7857142857142857,1
0.5788141345977783,0.5621165680885315,0.77,0.7,0.8,1
0.5194975125789643,0.5263380146026612,0.78,0.6666666666666666,0.8285714285714286,1
0.48843140999476115,0.5125700664520264,0.79,0.6666666666666666,0.8428571428571429,1
