train_losses,val_losses,val_accuracies,val_sensitivities,val_specificities,Fold
0.5803931136991479,0.5597010564804077,0.73,0.7,0.7428571428571429,0
0.49584087803100635,0.5340514993667602,0.73,0.7,0.7428571428571429,0
0.4772066645802933,0.5268539547920227,0.73,0.7,0.7428571428571429,0
0.46604958083327164,0.5341960406303405,0.73,0.7333333333333333,0.7285714285714285,0
0.45835574999868967,0.5341163182258606,0.73,0.7333333333333333,0.7285714285714285,0
0.45238569815822643,0.5332859373092651,0.73,0.7333333333333333,0.7285714285714285,0
0.4467499942520305,0.5302559185028076,0.74,0.7333333333333333,0.7428571428571429,0
0.4384580215276564,0.5282841277122498,0.75,0.7333333333333333,0.7571428571428571,0
0.43280817786787057,0.5319166612625122,0.76,0.7333333333333333,0.7714285714285715,0
0.4252134563011628,0.5306829619407654,0.76,0.7333333333333333,0.7714285714285715,0
0.41798466286902763,0.532470486164093,0.76,0.7333333333333333,0.7714285714285715,0
0.410385089120912,0.5406457114219666,0.74,0.7333333333333333,0.7428571428571429,0
0.40503810623528735,0.5371342206001282,0.75,0.7333333333333333,0.7571428571428571,0
0.3988573975873347,0.539828245639801,0.75,0.7333333333333333,0.7571428571428571,0
0.39048071762875236,0.5372598004341126,0.74,0.6666666666666666,0.7714285714285715,0
0.38501496399450535,0.5462867331504822,0.74,0.6666666666666666,0.7714285714285715,0
0.37687229133123623,0.5485756492614746,0.75,0.7,0.7714285714285715,0
0.3667256423629685,0.5591352200508117,0.74,0.7,0.7571428571428571,0
0.36631358381747414,0.5608811092376709,0.75,0.7,0.7714285714285715,0
0.35610811316593866,0.5728629016876221,0.75,0.7,0.7714285714285715,0
0.34875910514367275,0.5764122819900512,0.76,0.7,0.7857142857142857,0
0.3454323563681796,0.5703043341636658,0.75,0.6666666666666666,0.7857142857142857,0
0.34181375700912914,0.583796763420105,0.76,0.7333333333333333,0.7714285714285715,0
0.3340733379272888,0.5889078974723816,0.75,0.6666666666666666,0.7857142857142857,0
0.3303413564919247,0.6048596501350403,0.76,0.7,0.7857142857142857,0
0.31921032861587045,0.5949402666091919,0.74,0.6333333333333333,0.7857142857142857,0
0.32083172229605017,0.6113175249099732,0.75,0.6666666666666666,0.7857142857142857,0
0.31704641993984556,0.6109212970733643,0.74,0.6666666666666666,0.7714285714285715,0
0.3067539294037041,0.629276852607727,0.73,0.6333333333333333,0.7714285714285715,0
0.3007589523639082,0.6251017308235168,0.74,0.6666666666666666,0.7714285714285715,0
0.299691267765727,0.644781608581543,0.74,0.6666666666666666,0.7714285714285715,0
0.3005208448189291,0.648289110660553,0.75,0.6666666666666666,0.7857142857142857,0
0.2912370246854999,0.6528465151786804,0.74,0.6333333333333333,0.7857142857142857,0
0.2909738596228045,0.6630845332145691,0.72,0.5666666666666667,0.7857142857142857,0
0.28481106803778566,0.6697514581680298,0.73,0.6,0.7857142857142857,0
0.27550027437225794,0.673998417854309,0.73,0.6,0.7857142857142857,0
0.2761978498695317,0.687539255619049,0.73,0.6,0.7857142857142857,0
0.27009137586078297,0.6947050428390503,0.73,0.6,0.7857142857142857,0
0.2694194753588326,0.7079698133468628,0.73,0.6,0.7857142857142857,0
0.2663927530928145,0.7091274762153625,0.72,0.5666666666666667,0.7857142857142857,0
0.2613346877659761,0.7205384230613708,0.72,0.5666666666666667,0.7857142857142857,0
0.25990160793998884,0.737551007270813,0.72,0.5666666666666667,0.7857142857142857,0
