feature,mean_abs_ig
PAY_0,0.41146916
max_pay_delay,0.2939957
num_delayed_months,0.27945378
utilization_current,0.17262606
LIMIT_BAL,0.14452769
MARRIAGE,0.10209027
avg_utilization,0.10006044
BILL_AMT5,0.09348741
BILL_AMT4,0.08846243
PAY_AMT1,0.080360144
avg_pay_amt,0.0790525
recent_bill_change,0.070556864
EDUCATION,0.0692483
SEX,0.06871501
avg_pay_delay,0.05839996
PAY_2,0.057017077
PAY_6,0.055833
BILL_AMT1,0.055040743
std_bill_amt,0.047905475
PAY_AMT2,0.04501677
PAY_AMT5,0.042116877
PAY_3,0.039917823
recent_payment_change,0.037007205
max_bill_amt,0.03664791
max_pay_amt,0.03630956
BILL_AMT6,0.029084211
PAY_5,0.029019896
BILL_AMT3,0.028461264
avg_bill_amt,0.027006144
BILL_AMT2,0.026396433
PAY_AMT3,0.025165051
PAY_4,0.023702515
PAY_AMT6,0.022571353
std_pay_amt,0.022005301
AGE,0.021733223
PAY_AMT4,0.021080555
payment_to_bill_ratio_1,0.0017327137
avg_payment_to_bill_ratio,0.0006779027
