feature,mean_abs_ig
PAY_0,0.5010409
num_delayed_months,0.38706353
max_pay_delay,0.24899894
avg_utilization,0.19718577
LIMIT_BAL,0.1807705
BILL_AMT4,0.11454908
avg_pay_amt,0.10589714
PAY_6,0.07855075
avg_bill_amt,0.075682856
MARRIAGE,0.075299695
PAY_AMT1,0.072390676
EDUCATION,0.0684815
SEX,0.06674808
recent_bill_change,0.06627444
BILL_AMT3,0.060266808
utilization_current,0.056736764
BILL_AMT1,0.056443516
PAY_2,0.055780444
BILL_AMT2,0.05083948
PAY_AMT2,0.05016859
PAY_3,0.04501286
std_bill_amt,0.04471965
BILL_AMT5,0.04456658
avg_pay_delay,0.043315772
max_bill_amt,0.042786583
PAY_4,0.04193645
std_pay_amt,0.03131091
PAY_5,0.030307172
PAY_AMT5,0.026939128
AGE,0.02262815
BILL_AMT6,0.022105679
max_pay_amt,0.020348057
recent_payment_change,0.018579576
PAY_AMT4,0.016541826
PAY_AMT6,0.0132201435
PAY_AMT3,0.009953112
payment_to_bill_ratio_1,0.00033765595
avg_payment_to_bill_ratio,0.00031948378
